question,candidates,llm_final_match
Does the company have a target to achieve gender diversity in the workforce,"['Number Of Employees In The Company At The End Of The Financial Year', 'Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have affiliatoins with trade and indsutry chambers/associations,"['Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations7 Member', 'Number Of Affiliations With Trade And Industry Chambers Or Associations', 'Number Of Employees In The Company At The End Of The Financial Year', 'Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations4 Member', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company have agreements which safeguard the wellbeing of farm workers through the Agricultural Labour Practices Code,"['Assurance Sub Type For Details Of Financial Year For Which Reporting Is Being Done', 'Number Of Employees In The Company At The End Of The Financial Year', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Remarks For Assurance Of Details Of Financial Year For Which Reporting Is Being Done', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have an Environment or a Biodiversity policy,"['Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period']",
Does the company have any standards or programmes related to sustainable tobacco during their supply chain process,"['Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably', 'Whether Any Borrowing Costs Has Been Capitalised During The Year', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Does The Entity Have Any Project Related To Reducing Green House Gas Emission', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have any targets to reduce food waste,"['Number Of Employees In The Company At The End Of The Financial Year', 'Whether Any Borrowing Costs Has Been Capitalised During The Year', 'Amount Of Recycled - Hazardous Waste Member - Previous Year', 'Disclose Whether Targets Set Under The Pat Scheme Have Been Achieved In Case Targets Have Not Been Achieved Then Provide The Remedial Action Taken Explanatory Text Block', 'Does The Entity Have Any Project Related To Reducing Green House Gas Emission', 'Amount Of Recycled - Hazardous Waste Member', 'Waste Recovered Through Recycled']",
Does the company have code of conduct policy,"['Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Number Of Employees In The Company At The End Of The Financial Year', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Workers', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016']",
"Does the company have commitment in place integrating circular fashin into all its operations? If yes, provide details","['Does The Entity Have Procedures In Place For Sustainable Sourcing', 'Details Of Material Changes And Commitment Occurred During Period Affecting Financial Position Of Company', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Details Of The Entity Have Not Applicable Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board Explanatory Text Block', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board']",
"Does the company have digital/smart substations or plans to have it in future? (If yes, provide the number of substation)","['Remarks For Assurance Of Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted', 'Number Of Employees In The Company At The End Of The Financial Year', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have due diligence process for sourcing minerals as raw materials,"['Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably', 'Raw Materials Consumed', 'Assurance Sub Type For The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably', 'Description Of Raw Materials Category', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have employe development programs that have been developed to upgrade and improve employee skills,"['Remarks For Assurance Of Details Of Measures Undertaken By The Entity To Ensure That Statutory Dues Have Been Deducted And Deposited By The Value Chain Partners', 'Whether Equity Have Been Measured At Fair Value', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Whether Liabilities Have Been Measured At Fair Value']",
Does the company have facilities/operations in water stress regions,"['Number Of Employees In The Company At The End Of The Financial Year', 'Cost Water Charges', 'Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres', 'Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India', 'Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have inhouse research and development facilities/centres and team,"['Research And Development Expense', 'Expenditure Incurred On Research And Development', 'Research Development Expenditure', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Value Of Shares Paid Up']",
Does the company have its products in compliance with BIS standards,"['Number Of Persons Benefitted From CSRProjects - CSRProjects83', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company have lead independent director on the board,"['Assurer Has Assured Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Number Of Employees In The Company At The End Of The Financial Year', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Remarks For Assurance Of Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues']",
Does the company have mechanisms to receive and respond to consumer complaints and feedback,"['Geological And Geophysical Expenditure Pertaining To Exploration And Production Activities', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Describe The Mechanisms In Place To Receive And Respond To Consumer Complaints And Feedback Explanatory Text Block', 'Remarks For Assurance Of The Mechanisms In Place To Receive And Respond To Consumer Complaints And Feedback']",
Does the company have oil spill/gas leak action plan,"['Number Of Employees In The Company At The End Of The Financial Year', 'Description Of Accounting Policy For Oil And Gas Assets Explanatory', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Does The Entity Have Any Project Related To Reducing Green House Gas Emission']",
Does the company have policy for precention to prevent sexual harassment at workplace,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Total Complaints Reported Under Sexual Harassment Of Women At Workplace', 'Number Of Employees In The Company At The End Of The Financial Year', 'Remarks For Assurance Of Complaints Filed Under The Sexual Harassment Of Women At Workplace']",
Does the company have policy on offering stock options,"['Name Of Stock Exchange Where The Company Is Listed', 'Number Of Outstanding Stock Options', 'Cost Reimbursed By Subsidiary Company For Issuing Options Or Shares Under Employee Stock Option Or Stock Purchase Scheme', 'Proceeds From Exercise Of Stock Options', 'Name Of Stock Exchange Where The Company Is Listed - Stock Exchange2', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Name Of Stock Exchange Where The Company Is Listed - Stock Exchange1']",
Does the company have processes for workers to report the work related hazards and to remove themselves from such risks (Y/N),"['Whether Company Has Published Sustainability Report For The Financial Year', 'Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks', 'Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks Is Not Applicable Explanatory Text Block', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period']",
Does the company have processes in place to avoid/manage conflicts of interest involving members of the Board,"['Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Remarks For Assurance Of The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board', 'Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board', 'Number Of Employees In The Company At The End Of The Financial Year']",
Does the company have programmes for listing designed to promote small businesses (MSME) and community development,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Remarks For Assurance Of Whether The Entity Have ABusiness Continuity And Disaster Management Plan', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Micro Small Medium Enterprises Domain', 'Assurance Sub Type For Describe The Mechanisms To Receive And Redress Grievances Of The Community', 'Assurance Sub Type For Whether The Entity Have ABusiness Continuity And Disaster Management Plan', 'Remarks For Assurance Of Describe The Mechanisms To Receive And Redress Grievances Of The Community']",
Does the company have programs established to measure food loss and waste,"['Steps Taken To Address The Waste Collection Plan Explanatory Text Block', 'Changes In Methods Used To Measure Risk', 'Methods Used To Measure Risk', 'Waste Recovered Through Recycled']",
Does the company have publicly available programs to improve the accessibility to healthcare,"['Number Of Employees In The Company At The End Of The Financial Year', 'Whether Information Available In Public Domain - Public Policy3', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services', 'The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle3 Member', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company have separate roles for Chairman and CEO,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Remarks For Assurance Of Address Of Registered Office Of Company', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have Procedures In Place For Sustainable Sourcing', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
Does the company have tailing management system after mining,"['Number Of Employees In The Company At The End Of The Financial Year', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Remarks For Assurance Of Health And Safety Management System']",
Does the company have waste heat recovery systems for enchancing energy efficiency (Cement),"['Waste Recovered Through Other Recovery Operations', 'Waste Recovered Through Other Recovery Operations - Previous Year', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory', 'Details Regarding Energy Conservation']",
Does the company implement a comprehensive framework or Enterprise Risk Management framework,"['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Description Of Regulatory Framework In Which Plan Operates', 'Remarks For Assurance Of Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Description Of Effect Of Regulatory Framework On Plan']",
Does the company implement strategies to control and reduce the amount of construction and demolition waste from buildings that are constructed or are part of portfolio,"['Construction And Demolition Waste - Previous Year', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Construction And Demolition Waste', 'Number Of Employees In The Company At The End Of The Financial Year']",
Does the company index for social enterprises that target underserved or less privileged population segments,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Micro Small Medium Enterprises Domain', 'Remarks For Assurance Of Whether CSRIs Applicable As Per Section135 Of Companies Act2013', 'Disclosure Of Reportable Segments Explanatory', 'Type Of Assurance For Section AGeneral Disclosures']",
Does the company integrate ESG aspects in its insurance underwriting process for non life non health insurance reinsurance,"['Revenue From Insurance Contracts Issued Without Reduction For Reinsurance Held', 'Insurance', 'The Entity Has Not Applicable Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services Explanatory Text Block', 'Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees', 'Non Controlling Interest', 'Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Workers', 'Assets Under Insurance Contracts And Reinsurance Contracts Issued']",
Does the company lend towards Electric Vehicles,"['Appropriation Towards Bonus Shares', 'Remarks For Assurance Of Details Of Total Energy Consumption In Joules Or Multiples And Energy Intensity', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Efforts Made Towards Technology Absorption Explanatory', 'Energy Intensity Per Rupee Of Turnover']",
Does the company manufacture/sell sustainable apparel or garments,"['Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations7 Member', 'Number Of Employees In The Company At The End Of The Financial Year', 'Inventories At Fair Value Less Costs To Sell', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations1 Member', 'Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations8 Member', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
"Does the company measure or track the age of aircrafts? If yes, the what is the average of company’s air fleet","['Name Of Stock Exchange Where The Company Is Listed', 'Number Of Employees In The Company At The End Of The Financial Year', 'Whether Details Of Air Emissions Other Than Ghg Emissions By The Entity Is Applicable To The Company', 'Whether Extended Producer Responsibility Is Applicable To The Entity SActivities', 'Whether Details Of The Stock Exchange Where The Company Is Listed Is Assured By Assurer', 'What Percentage Of Total Procurement By Value Does It Constitute']",
Does the company meet priority sector lending requirements as per RBI,"['Sector In Which Project Is Covered', 'Profit Loss For The Period As Per Ind As', 'Profit Loss For The Period As Per Indian Gaap', 'Energy Intensity Per Rupee Of Turnover', 'Is The Premise Or Office Of The Entity Accessible To Differently Abled Visitors As Per The Requirements Of The Rights Of Persons With Disabilities Act2016']",
Does the company mention that they have a safety committee/policy in place with respect to accidents or misfortune events,"['Disclosure Responsibility Statement Of CSR Committee That Implementation And Monitoring Of CSR Policy Is In Compliance With CSR Policy Of Company', 'Safety Security Expenses', 'Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company mention use of natural ingredients in their products and are they approved by government norms,"['Reclaimed Products And Their Packaging Materials As Percentage Of Total Products Sold In Respective Category - Reclaimed Products And Their Packaging Domain1', 'Products And Services Domain', 'Reclaimed Products And Their Packaging Materials As Percentage Of Total Products Sold In Respective Category - Reclaimed Products And Their Packaging Domain3', 'Reclaimed Products And Their Packaging Materials As Percentage Of Total Products Sold In Respective Category - Reclaimed Products And Their Packaging Domain7', 'Reclaimed Products And Their Packaging Materials As Percentage Of Total Products Sold In Respective Category - Reclaimed Products And Their Packaging Domain8', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company monitor Chemical Oxygen Demand during water discharge,"['Name Of Other Emissions - Other Air Emissions Domain8', 'Water Discharge To Groundwater', 'Cost Water Charges', 'Water Discharge To Surface Water', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres']",
Does the company monitor and measure noise levels? Are they compliant with noise regulations,"['Is The Entity Compliant With The Applicable Environmental Law', 'Assurer Has Assured Whether The Entity Compliant With The Applicable Environmental Law', 'Remarks For Assurance Of Whether The Entity Compliant With The Applicable Environmental Law', 'Disclosure Of Whether All Assets And Liabilities Are Registered With Company', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company owns/lease/manages forest land for its operations,"['Whether Company Has Published Sustainability Report For The Financial Year', 'The Entity Does Not Consider The Principles Material To Its Business - Principle9 Member', 'The Entity Does Not Consider The Principles Material To Its Business - Principle5 Member', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Remarks For Assurance Of Whether The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the company participate in the GRESB for real estate benchmark assessment,"['Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain280', 'Number Of Employees In The Company At The End Of The Financial Year', 'Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain28', 'Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain1', 'Remarks For Assurance Of Details Of Total Energy Consumption In Joules Or Multiples And Energy Intensity', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
"Does the company perform climate related scenario analysis (based on TCFD framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks","['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Whether Company Has Published Sustainability Report For The Financial Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy', 'Assurer Has Assured Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block']",
Does the company perform materiality assessment and identify material ESG issues,"['Number Of Employees In The Company At The End Of The Financial Year', 'Material Issue Identified - Entitys Material Responsible Business Conduct Issues Domain37', 'Name Of The External Agency That Undertook Independent Assessment Or Evaluation Or Assurance For Energy Consumption Explanatory Text Block', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Material Issue Identified - Entitys Material Responsible Business Conduct Issues Domain1', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore']",
"Does the company provide medical assistance (Ambulance service, fixed medical checkups, to the employees)","['Number Of Employees In The Company At The End Of The Financial Year', 'Employee Medical Insurance Expenses', 'Does The Entity Provide Transition Assistance Programs To Facilitate Continued Employability And The Management Of Career Endings Resulting From Retirement Or Termination Of Employment', 'Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services', 'Bio Medical Waste']",
"Does the company provide training on code of conduct, anti corruption, and anti bribery policies to the employee","['Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory', 'Does The Entity Have An Anti Corruption Or Anti Bribery Policy', 'Anti Corruption Or Anti Bribery Policy Explanatory Text Block', 'Number Of Employees In The Company At The End Of The Financial Year']",
Does the company take initiatives with regards to its Biodiversity conservation/land rehabilitation and biodiversity restoration,"['Description Of Accounting Policy For Decommissioning Restoration And Rehabilitation Provisions Explanatory', 'Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities', 'Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block', 'Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company - Previous Year']",
"Does the company take measures for the well being of individuals other than permanent employees (which may include interns, contracts, etc.)","['Number Of Employees In The Company At The End Of The Financial Year', 'Number Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member', 'Number Of Well Being Of Employees Or Workers - Other Gender Member - Total Employee Benefits Member - Other Than Permanent Employees Member', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Number Of Well Being Of Employees Or Workers - Gender Member - Benefits Member - Other Than Permanent Employees Member']",
Does the company undertake intiatives or programs to raise awareness about sustainability challenges and opportunities in the natural rubber industry for suppliers,"['Whether Company Has Published Sustainability Report For The Financial Year', 'Number Of Employees In The Company At The End Of The Financial Year', 'Total Number Of Awareness Programmes Held - Awareness Programmes Conducted For Value Chain Partners Domain9', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Total Number Of Awareness Programmes Held - Awareness Programmes Conducted For Value Chain Partners Domain1', 'Total Number Of Awareness Programmes Held - Awareness Programmes Conducted For Value Chain Partners Domain10']",
Does the company use smart metters in its distribution grid,"['Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year', 'Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity', 'Transportation Distribution Expenses']",
Does the company’s policy and measures align with International Civil Aviation Organisation’s Balance Approach,"['Remarks For Assurance Of Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted', 'Balance With Banks', 'Description Of Line Item S In Statement Of Comprehensive Income In Which Amortisation Of Intangible Assets Is Included', 'Assurer Has Assured Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted', 'Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory']",
Does the company’s policy on Biodiversity extend to its value chain partners (Y/N),"['Remarks For Assurance Of Whether The Enlisted Policies Extend To Your Value Chain Partners', 'Do The Enlisted Policies Extend To Your Value Chain Partners - Principle6 Member', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period', 'Names Of All Partners In Partnership Firm', 'Do The Enlisted Policies Extend To Your Value Chain Partners - Principle5 Member', 'Do The Enlisted Policies Extend To Your Value Chain Partners - Principle7 Member']",
Does the company’s policy on cybersecurity and risks related to data privacy extend to its value chain partners,"['Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy', 'Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Description Of Risks To Which Plan Exposes Entity', 'Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period']",
Does the copmany manufacture electric or alternate fuel bsaed vessel/ships or related components for the same?,"['Remarks For Assurance Of Details Of Total Energy Consumption In Joules Or Multiples And Energy Intensity', 'Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues', 'Revenues From Transactions With Other Operating Segments Of The Same Entity', 'Assurance Sub Type For Details Of Total Energy Consumption In Joules Or Multiples And Energy Intensity', 'Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory']",
"Does the entity comply with ISO 27001:2013, ISO 22301:2019 OR PCI DSS standards to safeguard the customer data","['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Whether Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers Is Assured By Assurer', 'ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data', 'Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers', 'Revenues From Transactions With Other Operating Segments Of The Same Entity']",
Does the entity disclose the details of beneficiaries of CSR projects,"['Number Of Employees In The Company At The End Of The Financial Year', 'Type Of Assurance For Details Of CSR', 'Details CSR Policy Explanatory', 'Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company', 'Revenues From Transactions With Other Operating Segments Of The Same Entity', 'Remarks For Assurance Of Details Of Beneficiaries Of CSRProjects']",
Does the entity display product information on the product over and above what is mandated as per local laws,"['Profit Loss For The Period As Per Indian Gaap', 'Assurer Has Assured Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Profit Loss For The Period As Per Ind As']",
Does the entity display relevant information on the product labels as per the requirements of national and international drug regulatory bodies,"['Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Number Of Employees In The Company At The End Of The Financial Year', 'Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws', 'Profit Loss For The Period As Per Indian Gaap', 'Assurer Has Assured Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws']",
Does the entity have ISO 45001:2018 certification,"['Number Of Certified Emission Rights Under Certification', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle2 Member', 'Revenues From Transactions With Other Operating Segments Of The Same Entity', 'Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016', 'Does The Entity Have Procedures In Place For Sustainable Sourcing']",
Does the entity have a business continuity and disaster management plan,"['Assurer Has Assured Whether The Entity Have ABusiness Continuity And Disaster Management Plan', 'Remarks For Assurance Of Whether The Entity Have ABusiness Continuity And Disaster Management Plan', 'Initially Applied Ind A Ss Domain', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Amount Incurred By Entity For Provision Of Key Management Personnel Services Provided By Separate Management Entity']",
Does the entity have a framework/policy on cybersecurity and risks related to data privacy,"['Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Remarks For Assurance Of Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Description Of Risks To Which Plan Exposes Entity', 'Assurer Has Assured Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy', 'Transfers Of Research And Development To Entity Related Party Transactions']",
"Does the entity have a plan to lend to MSME? If yes, provide details","['Assurer Has Assured Whether The Entity Have ABusiness Continuity And Disaster Management Plan', 'Remarks For Assurance Of Whether The Entity Have ABusiness Continuity And Disaster Management Plan', 'Description Of Risks To Which Plan Exposes Entity', 'Does The Entity Have ABusiness Continuity And Disaster Management Plan', 'Does The Entity Have Any Project Related To Reducing Green House Gas Emission', 'Description Of Nature Of Necessary Adjustment To Provide Comparative Information']",
Does the entity have a system to finance sustainable projects,"['Initially Applied Ind A Ss Domain', 'Does The Entity Have Any Project Related To Reducing Green House Gas Emission', 'Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India', 'Transfers Under Finance Agreements To Entity Related Party Transactions', 'Does The Entity Have Procedures In Place For Sustainable Sourcing', 'The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle7 Member']",
