question,matched_pdf_paragraph
"Does the company have a publicly available policy in place for mining from conflict affected and high risk areas. If yes, provide details","2. Does the entity have processes in place to avoid/ manage conflict of interests involving members of the Board? (Yes/No) If Yes, provide details of the same."
Does the company undertake intiatives or programs to raise awareness about sustainability challenges and opportunities in the natural rubber industry for suppliers,3. Percentage of recycled or reused input material to total material (by value) used in production (for manufacturing industry) or providing services (for service industry).
What measures are in palce to ensure public sagety and security at facilities?,12. Describe the measures taken by the entity to ensure a safe and healthy workplace. –
How are potential security threats and emergencies addressed,"Not Applicable. The main products of the Company are Defence and space technology products for use in security applications. Once the products are sold, they would not be returned to the Company."
Is the company using low carbon vehicle and equipments in its ports to carry out operations,2 EV Charging Point EV charging station was inaugurated within the premises to promote sustainable transportation and also contribute to reduction in carbon footprint.
Are the ESG related factors being monitored in investee companies/lending processes,"7. Statement by director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements (listed entity has flexibility regarding the placement of this disclosure)"
Does the company lend towards Electric Vehicles,Remarks: The Company does not discharge untreated water.
Does the company have ESG related products/services?,"Not applicable, as the Company does not have any operations/offices in/around ecologically sensitive areas."
Does the company integrate ESG aspects in its insurance underwriting process for non life non health insurance reinsurance,Health insurance Accident Insurance Maternity benefits Paternity benefits (A) Day Care facilities
Does your company offer eSG based products within its non life non health insurance business segment,Provide details of the non- compliance
Does the company participate in the GRESB for real estate benchmark assessment,"Does the entity indicated at column A, participate in the Business Responsibility initiatives of the listed entity? (Yes/No)"
Is the company currently operating/deploying low carbon fleet (EVs or other vehicles) in its logistics business or do they have a plan to shift current feet to low carbon alternative fleet,4. Do you have a focal point (Individual/ Committee) responsible for addressing human rights impacts or issues caused or contributed to by the business? (Yes/No)
Does the company have End of Life Vehicles management,5. Does the entity have a business continuity and disaster management plan?
What steps are taken by the company to mitigate any potential health impacts of tyre and rubber product manufacturing on local communities,We evaluated the climate change risk exposure of all our operational sites and developed a plan to mitigate the potential impacts. The Company ensures that energy- efficient equipment is installed across its manufacturing units. The maintenance team is in charge of overseeing this and considerations such as energy ratings are taken into account during the procurement process.
"Does the company have a strategy or initiative in place to enourage small forest owners and timber suppliers to adopt best practices or sustainable management in order to obtain certification from recognized systems such as PEF, FSC or equivalent",2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
"Does the company have commitment in place integrating circular fashin into all its operations? If yes, provide details","2. Does the entity have processes in place to avoid/ manage conflict of interests involving members of the Board? (Yes/No) If Yes, provide details of the same."
Does the company manufacture/sell sustainable apparel or garments,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Is the company using sustainable material in its typre (also state the ttype of material used) or has committed to use sustainable material in typres,Indicate input material Recycled or re-used input material to total material
Is the company manufacturing sustainable/eco-friendly paint/coatings,The Company ensures that energy-efficient equipment is installed across its manufacturing units. The maintenance team is in charge of overseeing this and considerations such as energy ratings are taken into account during the procurement process.
Is the company manufacturing any energy efficient products or is spending on R&D for manufacturing such products in near future?,1 Deployment of energy- efficient equipment across all manufacturing units and office
Is the company fulfilling International Maritime Organisation - MARPOL Air Pollution prevention guidelines,"13. Is the entity compliant with the applicable environmental law/ regulations/ guidelines in India; such as the Water (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment protection act and rules thereunder (Y/N). If not, provide details of all such non-compliances, in the following format:"
Whether an occupational health and safety management system is implemented by the entity,"10. a. Whether an occupational health and safety management system has been implemented by the entity? (Yes/ No). If yes, the coverage such system?"
What are the processes used to identify work-related hazards and assess risks on a routine and non routine bassi by the entity,b. What are the processes used to identify work-related hazards and assess risks on a routine and non-routine basis by the entity?
Does the company have processes for workers to report the work related hazards and to remove themselves from such risks (Y/N),c. Whether you have processes for workers to report the work-related hazards and to remove themselves from such risks. (Y/N)
Was there training given to workers on health and sagety measures in Current Year,8. Details of training given to employees and workers:
Does the company mention that they have a safety committee/policy in place with respect to accidents or misfortune events,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Does the entity have ISO 45001:2018 certification,Health and safety practices 100% (All our plants are ISO 45001:2018 certified through RIR Certification Private Limited and regular ISO audits / reviews are conducted) Working Conditions 100%
Are the entity’s manufacturing facilties WRAP certified,Health and safety practices 100% (All our plants are ISO 45001:2018 certified through RIR Certification Private Limited and regular ISO audits / reviews are conducted) Working Conditions 100%
Does the company have a target to achieve gender diversity in the workforce,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Does the company have a diversity equality and inclusion policy,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Does the company have policy for precention to prevent sexual harassment at workplace,Child labour 100% Forced/involuntary labour 100% Sexual harassment 100% Discrimination at workplace 100% Wages 100% Others – please specify 0
Are all complaints filed by the employees during current fiscal year closed,Number of complaints filed during the year
Does the company have a human rights policy established,"4. Does the entity have an equal opportunity policy as per the Rights of Persons with Disabilities Act, 2016? If so, provide a web-link to the policy."
"Does the company provide medical assistance (Ambulance service, fixed medical checkups, to the employees)",d. Do the employees/ worker of the entity have access to non-occupational medical and healthcare services? (Yes/ No)
"Does the company take measures for the well being of individuals other than permanent employees (which may include interns, contracts, etc.)",Other than Permanent Workers Permanent Employees Other than Permanent Employees
Does the organisation have opportunities for Paternal leavesWhat all initiatives does the organisation undertake for increase in the retention rate of employees,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Does the company have employe development programs that have been developed to upgrade and improve employee skills,"Engagement with communities primarily involves discussions where their views and opinions on CSR programs are carefully considered. The formulation of Company policies related to Corporate Social Responsibility has been the outcome of ongoing interactions with the stakeholders. The discussions with employees, HR, and team leads have also enabled the Company to implement activities like employee well-being programs, while also promoting environmental initiatives such as water, electricity and fuel conservation."
Did the company face any strike in the current year,Location Current Financial Year
Does the company conduct an employee satisfaction survey,3 Employee Satisfaction and Wellness
Does the company have policy on offering stock options,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Does the company have mechanisms to receive and respond to consumer complaints and feedback,1. Describe the mechanisms in place to receive and respond to consumer complaints and feedback.
"Did your entity carry out any survey with regard to consumer satisfaction relating to the major products/services of the entity, significant locations of operation of the entity or the entity as a whole","4. Does the entity display product information on the product over and above what is mandated as per local laws? (Yes/No/Not Applicable) If yes, provide details in brief. Did your entity carry out any survey with regard to consumer satisfaction relating to the major products / services of the entity, significant locations of operation of the entity or the entity as a whole? (Yes/No)"
Steps taken to inform and educate consumers about safe and responsible usage of products and/or service,"2. Steps taken to inform and educate consumers about safe and responsible usage of products and/or services. The Company has set up clear systems to ensure customers always have access to detailed information about our products and services. Our technical team stays in regular contact with customers, and we run training focused on the safe and effective use of our products. Product details are available on the website: www.parasdefence.com."
ISO 9001:2015 certification,Health and safety practices 100% (All our plants are ISO 45001:2018 certified through RIR Certification Private Limited and regular ISO audits / reviews are conducted) Working Conditions 100%
Does the entity display product information on the product over and above what is mandated as per local laws,"4. Does the entity display product information on the product over and above what is mandated as per local laws? (Yes/No/Not Applicable) If yes, provide details in brief. Did your entity carry out any survey with regard to consumer satisfaction relating to the major products / services of the entity, significant locations of operation of the entity or the entity as a whole? (Yes/No)"
"When the onboarding of new vendors takes place, does the company have their supplier code of conduct designed","Yes, at Paras, we are dedicated to sustainable sourcing practices. We carefully consider various factors when selecting our major raw material suppliers. Over 60% of our inputs are sourced sustainably. The Company has relevant procedures to ensure responsible sourcing, supported by a Supplier Code of Conduct. This aims to foster sustainability among our vendors and promote responsible behaviour beyond our own manufacturing facilities."
Disclose any significant adverse impact on the environment arising from the value chain of the entity. Are there any mitigations or adaptiation measures taken by the entity in this context,"6. Disclose any significant adverse impact to the environment, arising from the value chain of the entity. What mitigation or adaptation measures have been taken by the entity in this regard."
Provide details of any corrective actions taken or underway to adderss significant risks/concerns arising from asessment of health and safety practices practices and working conditions of value chain partners,6. Provide details of any corrective actions taken or underway to address significant risks / concerns arising from assessments of health and safety practices and working conditions of value chain partners.
Does the entity have procedures in place for sustainable sourcing strategy around sustainable/efficient/responsible supply chain,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Is there a robust supplier assessment done by the company to avoid any conflicts with ESG requirements/sustainability/ESG assessment for suppliers,"3 Suppliers and Distributors No Vendor assessment and review, Training workshop, Supplier audits, official communication channels: Website, Email and Phone calls"
Does the company have a documented CSR policy in place,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Whether there are mechanisms to receive and redress grievances of the community,3. Describe the mechanisms to receive and redress grievances of the community.
Does the entity disclose the details of beneficiaries of CSR projects,6. Details of beneficiaries of CSR Projects:
"Does the company conduct impact assessments for CSR projects? If yes, provide details","9. Does the entity have a specified Committee of the Board/ Director responsible for decision making on sustainability related issues? (Yes / No). If yes, provide details."
Does the company conduct of assessment of negative impacts of its operation on the communities,1. Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments (Reference: Question 1 of Essential Indicators above):
Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments,1. Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments (Reference: Question 1 of Essential Indicators above):
Does the entity have a framework/policy on cybersecurity and risks related to data privacy,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Does the company’s policy on cybersecurity and risks related to data privacy extend to its value chain partners,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Provide number of instances of data breaches along with their impact on the company,a. Number of instances of data breaches along-with impact – Nil
Does the company conduct cybersecurity assessment by a third party,Remarks: The Company does not discharge untreated water.
"Does the entity comply with ISO 27001:2013, ISO 22301:2019 OR PCI DSS standards to safeguard the customer data","4. Name of the national and international codes/ certifications/labels/ standards (e.g. Forest Stewardship Council, Fairtrade, Rainforest Alliance, Trustea) standards (e.g. SA 8000, OHSAS, ISO, BIS) adopted by your entity and mapped to each principle."
Does the organisation conduct training on data privacy and awareness programs for information security to its customers/employees,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Does the company have a communication plan for engaging with the communities affected with aircraft noise,5. Does the entity have a business continuity and disaster management plan?
Does the company comply with Maritime Labour Convention adopted by International Labour Organisation in 2006,Child labour 100% Forced/involuntary labour 100% Sexual harassment 100% Discrimination at workplace 100% Wages 100% Others – please specify 0
Is the company’s training centre for its seafarers certified or has got validated by any institution,"1. Has the entity conducted Life Cycle Perspective / Assessments (LCA) for any of its products (for manufacturing industry) or for its services (for service industry)? If yes, provide details in the following format?"
Does the company have agreements which safeguard the wellbeing of farm workers through the Agricultural Labour Practices Code,"Not applicable, as the Company does not have any operations/offices in/around ecologically sensitive areas."
Does the company ensure its jewellery meet BIS hallmark standards for quality assurance,"4. Name of the national and international codes/ certifications/labels/ standards (e.g. Forest Stewardship Council, Fairtrade, Rainforest Alliance, Trustea) standards (e.g. SA 8000, OHSAS, ISO, BIS) adopted by your entity and mapped to each principle."
Is the education institute providing placement assistance to its students,"1 Health Care, Sanitation and providing Drinking Water 5000+ 100 2 Environmental Sustainability and Animal Welfare 600+ Cows 100 3 Promotion of education and social welfare 1000+ 100"
Does the company have a editorial policy,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Does the company implement strategies to control and reduce the amount of construction and demolition waste from buildings that are constructed or are part of portfolio,NA (ii) Landfilling (iii) Other disposal operations Total Category of waste - Construction and demolition waste
Does the company have programs established to measure food loss and waste,"Not applicable, as the Company does not have any operations/offices in/around ecologically sensitive areas."
Does the company have any targets to reduce food waste,"Not applicable, as the Company does not have any operations/offices in/around ecologically sensitive areas."
What initiatives are undertaken to mitigate the health risks of smoking and tobacco use,b. What are the processes used to identify work-related hazards and assess risks on a routine and non-routine basis by the entity?
Are any of its hospitals accredited with NABH or JIC? How many of its hospitals accredited with NABH or JIC?,Remarks: None of our employees or workers are members of any association(s) or unions.
Does the company have a program or is taking efforts to increase the availability and affordability of the medicines in low income/developing markets,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Does the company have publicly available programs to improve the accessibility to healthcare,d. Do the employees/ worker of the entity have access to non-occupational medical and healthcare services? (Yes/ No)
Are the production units and R&D centres certified to International Aerospace Standard AS9100D and other required aviation standards,"4. Name of the national and international codes/ certifications/labels/ standards (e.g. Forest Stewardship Council, Fairtrade, Rainforest Alliance, Trustea) standards (e.g. SA 8000, OHSAS, ISO, BIS) adopted by your entity and mapped to each principle."
"Has the company identified risk and threats it faces in ensuring the safet and security of its passengers, staff, and assets","Not Applicable. The main products of the Company are Defence and space technology products for use in security applications. Once the products are sold, they would not be returned to the Company."
Does the company collaborate with external agencies to reduce the amount of food loss and waste,10. Briefly describe the waste management practices adopted in your establishments. Describe the strategy adopted by your company to reduce usage of hazardous and toxic chemicals in your products and processes and the practices adopted to manage such wastes.
Is the company promoting local tourism,− Volunteering activities to address local needs of the beneficiaries.
"Does the company actively engage in the research collaborations with the universities, research institutions and other companies","The Company majorly serves government organizations such as the Defence Research and Development Organization (DRDO), the Indian Space Research Organization (ISRO), Defence Public Sector Undertakings (DPSUs), shipyards and ordnance factories. Additionally, the client base includes publicly listed companies like L&T, BEL, HAL, Tata as well as numerous private and international firms operating in the defence and space industry."
"Provide details on development of clinical technology, clinical capabilites and programmes",9. Details of performance and career development reviews of employees and worker:
"Does the entity have system/mechanism in place to address issues (congestion, indoor coverage, call drops, modernisation and upgrade of data speeds, among others)",2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
"Does the company have digital/smart substations or plans to have it in future? (If yes, provide the number of substation)","2. Does the entity have processes in place to avoid/ manage conflict of interests involving members of the Board? (Yes/No) If Yes, provide details of the same."
Does the company use smart metters in its distribution grid,Remarks: The Company does not discharge untreated water.
Does the company have inhouse research and development facilities/centres and team,"The Company majorly serves government organizations such as the Defence Research and Development Organization (DRDO), the Indian Space Research Organization (ISRO), Defence Public Sector Undertakings (DPSUs), shipyards and ordnance factories. Additionally, the client base includes publicly listed companies like L&T, BEL, HAL, Tata as well as numerous private and international firms operating in the defence and space industry."
Is the company offering e-learning courses/certifications to its students,The Company ensures that energy-efficient equipment is installed across its manufacturing units. The maintenance team is in charge of overseeing this and considerations such as energy ratings are taken into account during the procurement process.
ISO 22000 FSSC,Health and safety practices 100% (All our plants are ISO 45001:2018 certified through RIR Certification Private Limited and regular ISO audits / reviews are conducted) Working Conditions 100%
Does the company confirm on its commitments to follow guidelines provided by FSSAI and NIN,"Yes, the Company adheres to all applicable regulations pertaining to product information and labeling. Safety instructions, including the Do's and Don'ts are provided with all critical products to ensure proper handling. Regular interactions with customer are maintained to ensure satisfaction and obtain feedback on products and services. Based on the feedback received, the Company undertakes necessary actions to improve its offerings and address customer expectations."
Does the company conduct food safety audits,Remarks: The Company does not discharge untreated water.
Does the company mention use of natural ingredients in their products and are they approved by government norms,"Not Applicable. The main products of the Company are Defence and space technology products for use in security applications. Once the products are sold, they would not be returned to the Company."
does the company have a policy on ingredient safety? is there any mention of use of paraben in the products,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
ISO 13485,Health and safety practices 100% (All our plants are ISO 45001:2018 certified through RIR Certification Private Limited and regular ISO audits / reviews are conducted) Working Conditions 100%
Does the company have a policy for ensuring quality and patient safety during clinical trials,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Does the entity display relevant information on the product labels as per the requirements of national and international drug regulatory bodies,"4. Does the entity display product information on the product over and above what is mandated as per local laws? (Yes/No/Not Applicable) If yes, provide details in brief. Did your entity carry out any survey with regard to consumer satisfaction relating to the major products / services of the entity, significant locations of operation of the entity or the entity as a whole? (Yes/No)"
How many labs are NABL accredited,"1. Provide the processes for consultation between stakeholders and the Board on economic, environmental, and social topics or if consultation is delegated, how is feedback from such consultations provided to the Board."
How did the entity handle aliquots and provide details on reducing aliquots,"4. Does the entity display product information on the product over and above what is mandated as per local laws? (Yes/No/Not Applicable) If yes, provide details in brief. Did your entity carry out any survey with regard to consumer satisfaction relating to the major products / services of the entity, significant locations of operation of the entity or the entity as a whole? (Yes/No)"
Does the company have a dedicated ethics committee to oversee all the clinical trials,"9. Does the entity have a specified Committee of the Board/ Director responsible for decision making on sustainability related issues? (Yes / No). If yes, provide details."
Does the company have a public policy committing it and/or its suppliers to animal welfare principles,The entity does not consider the Principles material to its business (Yes/No) Not Applicable The entity is not at a stage where it is in a position to formulate and implement the policies on specified principles (Yes/No)
Does the company meet priority sector lending requirements as per RBI,"Not applicable, as the Company does not have any operations/offices in/around ecologically sensitive areas."
"Does the entity have a plan to lend to MSME? If yes, provide details",5. Does the entity have a business continuity and disaster management plan?
Does the company have a policy or commitment on financial inclusion,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Does the company have programmes for listing designed to promote small businesses (MSME) and community development,Businesses should promote inclusive growth and equitable development
Does the company index for social enterprises that target underserved or less privileged population segments,"Yes, the HR Head and Executive Directors of the Company are responsible for addressing any human rights impacts or issues that may be caused or influenced by the company's Human Rights Policy (https://www.parasdefence.com/uploads/investors/files/Policy_on_ Human_Right.pdf )"
Does the company have its products in compliance with BIS standards,"Not applicable, as the Company does not have any operations/offices in/around ecologically sensitive areas."
Is the company adhering to Food Safety Standards and Processes,"The company diligently reviews work-related hazardous risks every quarter, facilitating the identification of safety concerns across various manufacturing processes and maintaining compliance monitoring. The company effectively recognizes hazardous risks on both routine and non-routine basis. The company consistently scrutinizes its safety apparatus to foster a safe work environment with minimal accidents. Every recommendation from regulators and industry forums regarding employee and worker safety and health is promptly implemented, demonstrating our steadfast commitment to this vital aspect."
Description of actions and initiatives to promote access to healthcare products for priority diseases,d. Do the employees/ worker of the entity have access to non-occupational medical and healthcare services? (Yes/ No)
Does the company focus on providing healthcare facilities to vulnerable portions of the population,Remarks: The Company does not discharge untreated water.
N-CAP Rating of 4 or 5 star?,5. Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments at Question 4 above.
"Is the company sourcing raw materials from the certified sustainable sources (such as global GAP, RSPO, Rainforest, FSC)",2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Do the farmers have access to PPE kits to prevent themselves from exposure to pesticides while handling wet green tobacco leaves which could lead to Green Tobacco Sickness,c. Whether you have processes for workers to report the work-related hazards and to remove themselves from such risks. (Y/N)
Does the company have any standards or programmes related to sustainable tobacco during their supply chain process,"After thorough assessments, our Company has not identified any significant risks or concerns related to health and safety practices or working conditions among our value chain partners. We continue to monitor and engage with our partners to ensure compliance with our standards and maintain a safe and healthy working environment across our supply chain."
Are there any technicians appointed during the supply chain process to detect or monitor the agriculture or crop management process,"As the Company has not received any major human rights grievances/complaints, there was no need to modify/introduce any business process."
Existence of management process for ensuring quality and patient safety during clinical trials,SECTION B: MANAGEMENT AND PROCESS DISCLOSURES
Provide information on project(s) for which ongoing Rehabilitation and Resettlements is being undertaken by the company,"2. Provide information on project(s) for which ongoing Rehabilitation and Resettlement (R&R) is being undertaken by your entity, in the following format:"
How many patents were filed and granted during the current year,Filed during the year
Does the company have due diligence process for sourcing minerals as raw materials,2. a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
Has the entity performed audit by DoT and maintain compliance with EMF radiation levels set by local regulations and ICNIRP,"5. Specific commitments, goals and targets set by the entity with defined timelines, if any."
Does the organisation have Board Diversity Policy,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Presence of policy on appointment and reappointment of board of directors,"Yes, the review was done by the Board of Directors of the Company. Annually or on need basis"
Is the chairperson of the board an independent director?,10. Details of Review of NGRBCs by the Company: Indicate whether review was undertaken by Director / Committee of the Board/ Any other Committee
Does the company have separate roles for Chairman and CEO,"Not applicable, as the Company does not have any operations/offices in/around ecologically sensitive areas."
Does the company have lead independent director on the board,"9. Does the entity have a specified Committee of the Board/ Director responsible for decision making on sustainability related issues? (Yes / No). If yes, provide details."
Does the company ensure effectiveness of the board through internal or external evaluation or assessment,"11. Has the entity carried out independent assessment/ evaluation of the working of its policies by an external agency? (Yes/No). If yes, provide name of the agency."
Does the company have processes in place to avoid/manage conflicts of interest involving members of the Board,"2. Does the entity have processes in place to avoid/ manage conflict of interests involving members of the Board? (Yes/No) If Yes, provide details of the same."
Does the company conduct training and awareness programmes on any of the NGBRC principles for BOD,1. Percentage coverage by training and awareness programmes on any of the Principles during the financial year:
Independence of Chairperson of committee (risk management),10. Details of Review of NGRBCs by the Company: Indicate whether review was undertaken by Director / Committee of the Board/ Any other Committee
Independence of Chairperson of committee (NRC),10. Details of Review of NGRBCs by the Company: Indicate whether review was undertaken by Director / Committee of the Board/ Any other Committee
Independence of Chairperson of committee (Audit),"In line with the Board-approved Vigil Mechanism and Whistle blower Policy, complainants also have the option to directly approach the Chairman of the Audit Committee. This policy includes built-in safeguards to protect whistle-blowers from any form of victimization, thereby reinforcing the Company’s commitment to transparency, accountability, and ethical conduct."
Is there a claw back mechanism/policy for senior management/KMP,"6. Is there a mechanism available to receive and redress grievances for the following categories of employees and worker? If yes, give details of the mechanism in brief."
Is the independent director paid commissions/incentives other than the board sitting fees,10. Details of Review of NGRBCs by the Company: Indicate whether review was undertaken by Director / Committee of the Board/ Any other Committee
Is the variable pay of executives linked to sustainability or ESG parameters,Yes. The Board’s Corporate Social Responsibility (CSR) Committee is responsible for sustainability related issues of the Company. This Committee meets at least twice a year to review the Company’s sustainability and CSR performance.
Does the company have a policy for appointment or reappointment o auditors,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Discontinuation of auditors before end of term,Pending resolution at the end of year
Does the entity have a whistleblower policy,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
Is the whistleblower policy applicable to value chain,Remarks: The company has a zero-tolerance policy against the matters mentioned herein and regularly conveys to all its value chain partners about the same.
Does the entity have an anti corruption or anti bribery policy,"4. Does the entity have an anti-corruption or anti-bribery policy? If yes, provide details in brief and if available, provide a web-link to the policy. - The Company has an anti-corruption and anti-bribery policy. The policy asserts on our zero-tolerance approach towards corruption and bribery. The policy also provides information and guidance on how to trace and deal with bribery and corruption issues. As a part of our training on the Code of Conduct, anti-bribery awareness sessions are also given to employees on Anti-Corruption and Anti-bribery topics. The weblink for this policy is https://www.parasdefence.com/uploads/investors/files/Policy_on_Anti-Corruption_ and_Anti-Bribery.pdf"
Does the company have code of conduct policy,"Yes, the code of conduct for Board Members and Senior Management covers in detail the concern of conflict of interest. The Directors and Senior Management are required to annually provide declarations of compliance with the Code of Conduct. The code of conduct is uploaded on the website of the company and the link for the same is given below: https://www.parasdefence.com/uploads/investors/ files/Code_of_Conduct_for_Board_of_Directors_and_SMPs.pdf"
Does the company have a policy on anti-money laundering and/or insider trading/dealing,"5. Does the entity have a framework/ policy on cyber security and risks related to data privacy? (Yes/No) If available, provide a web-link of the policy."
"Does the company provide training on code of conduct, anti corruption, and anti bribery policies to the employee","4. Does the entity have an anti-corruption or anti-bribery policy? If yes, provide details in brief and if available, provide a web-link to the policy. - The Company has an anti-corruption and anti-bribery policy. The policy asserts on our zero-tolerance approach towards corruption and bribery. The policy also provides information and guidance on how to trace and deal with bribery and corruption issues. As a part of our training on the Code of Conduct, anti-bribery awareness sessions are also given to employees on Anti-Corruption and Anti-bribery topics. The weblink for this policy is https://www.parasdefence.com/uploads/investors/files/Policy_on_Anti-Corruption_ and_Anti-Bribery.pdf"
How does the company ensure that the minority shareholders effectively protect their interest and rights within company,Shareholders 1 0 The complaint was resolved within the stipulated time
Has the company undergone any fines/penalties/punishments/award/compunding fees/settlement amount paid in proceedings with regulators/law enforcement agencies/judicial institution during the financial year,"2. Details of fines / penalties /punishment/ award/ compounding fees/ settlement amount paid in proceedings (by the entity or by directors / KMPs) with regulators/ law enforcement agencies/ judicial institutions, in the financial year, in the following format (Note: the entity shall make disclosures on the basis of materiality as specified in Regulation 30 of SEBI (Listing Obligations and Disclosure Obligations) Regulations, 2015 and as disclosed on the entity’s website)"
Does the company implement a comprehensive framework or Enterprise Risk Management framework,"Yes, the company actively promotes an inclusive accessibility framework."
"Has the company taken any corrective action or underway on any issues related to anti competitive model, based on adverse orders from regulatory authorities? If yes, provide details","2. Provide details of corrective action taken or underway on any issues related to anti-competitive conduct by the entity, based on adverse orders from regulatory authorities."
Does the entity have a business continuity and disaster management plan,5. Does the entity have a business continuity and disaster management plan?
Does the company have ESG or Sustainability or BRSR policy,"Not applicable, as the Company does not have any operations/offices in/around ecologically sensitive areas."
Does the company perform materiality assessment and identify material ESG issues,Remarks: The Company does not discharge untreated water.
Does the company conduct assurance for its ESG or sustainability data through a third party or external agency,"26. Overview of the entity’s material responsible business conduct issues. Please indicate material responsible business conduct and sustainability issues pertaining to environmental and social matters that present a risk or an opportunity to your business, rationale for identifying the same, approach to adapt or mitigate the risk along-with its financial implications, as per the following format."
Does the company conduct assurance for its suppliers’ ESG or sustainability data through a third party or external agency,"26. Overview of the entity’s material responsible business conduct issues. Please indicate material responsible business conduct and sustainability issues pertaining to environmental and social matters that present a risk or an opportunity to your business, rationale for identifying the same, approach to adapt or mitigate the risk along-with its financial implications, as per the following format."
Does the company have a highest authority responsible for implementation and oversight of the Business Responsibility(ies) and ESG policy,Munjal Sharad Shah Managing Director DIN: 01080863 8. Details of the highest authority responsible for implementation and oversight of the Business Responsibility policy (ies).
Does the company have a specified committee of the board/director responsible for decision making on sustainability related issues (Y/N),"9. Does the entity have a specified Committee of the Board/ Director responsible for decision making on sustainability related issues? (Yes / No). If yes, provide details."
Were there any promotor sponsored resolutoins that were defeated during the current FY,Remarks: No Environmental Impact Assessments of projects were undertaken during the reporting period of FY 2024-25.
Does the company follow GRI standards,Remarks: The Company does not discharge untreated water.
Is the company aligned with SDGs? Does the company set targets according  to SDGs,"5. Specific commitments, goals and targets set by the entity with defined timelines, if any."
Is your company a signatory/participant of the United Nations Global Compact,10. Briefly describe the waste management practices adopted in your establishments. Describe the strategy adopted by your company to reduce usage of hazardous and toxic chemicals in your products and processes and the practices adopted to manage such wastes.
Does the company have affiliatoins with trade and indsutry chambers/associations,We are affiliated with 4 trade and industry chambers/associations.
"Has the company advocated any public policy positions? If yes, provide details",1. Details of public policy positions advocated by the entity:
Does the company disclose ESG engagement with investee company,Remarks: The Company does not discharge untreated water.
Does the entity have stewardship code,5. Does the entity have a business continuity and disaster management plan?
Is there a policy on related party transactions,"Yes, the Company have a framework/ policy on cyber security and risks related to data privacy. The Link for the same is https:// parasdefence.com/investors"
Disclosure of transactions with related parties during the year which are more than 10% of the revenue,"9. Open-ness of business. Provide details of concentration of purchases with trading houses, dealers, and related parties along-with loans and advances & investments, with related parties, in the following format. Concentration of Purchases-"
