question_id,question_text,data_type,primary_source,extraction_target,verification_status,final_bm25_score
Q142,Are there any initiatives to promot sustainable shipping practices or reduce the carbon footprint of port operations,numeric,BRSR,Remarks For Assurance Of Details Of Number Of Locations Where Plants And Or Operations Or Offices Of The Entity Are Situated,Locked (BRSR: Ambiguous),16.4005
Q143,Does the copmany manufacture electric or alternate fuel bsaed vessel/ships or related components for the same?,numeric,BRSR,Remarks For Assurance Of Details Of Total Energy Consumption In Joules Or Multiples And Energy Intensity,Unverified - Needs Manual Review,12.2484
Q144,Is company using sustainable alternative fuels liek SAF in its fleet,numeric,BRSR,It Is Planned To Be Done In The Next Financial Year - Principle9 Member,Locked (BRSR: Ambiguous),14.6324
Q145,Is there any commitment or plan to shift to alternate fuels such as SAF,numeric,BRSR,Is There AMechanism Available To Receive And Redress Grievances For Permanent Workers,Locked (BRSR: Ambiguous),16.3526
Q146,Has the company partnered with airframe and tehnology manufacturesre to increase fuel efficiency and reduce environmental impact,numeric,Annual_Report,Power And Fuel,Verified (Annual Report Fallback),13.1582
Q147,"Does the company measure or track the age of aircrafts? If yes, the what is the average of company’s air fleet",numeric,BRSR,Whether Extended Producer Responsibility Is Applicable To The Entity SActivities,Unverified - Needs Manual Review,13.3455
Q148,Does the company monitor and measure noise levels? Are they compliant with noise regulations,numeric,BRSR,Is The Entity Compliant With The Applicable Environmental Law,Locked (BRSR: Ambiguous),14.201
Q149,Does the company’s policy and measures align with International Civil Aviation Organisation’s Balance Approach,numeric,BRSR,Assurer Has Assured Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted,Locked (BRSR: Ambiguous),20.2033
Q150,Does the company have oil spill/gas leak action plan,numeric,BRSR,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,Locked (BRSR: High Confidence),15.9001
Q151,Did the company experience any spills for the current and previous years,numeric,Annual_Report,Current Tax Pertaining To Previous Years,Verified (Annual Report Fallback),12.7412
Q152,Does the entity have a system to finance sustainable projects,numeric,BRSR,The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle7 Member,Locked (BRSR: High Confidence),15.5621
Q153,Are ESG factors incorporated in the lending and investment decisions,numeric,Annual_Report,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,Verified (Annual Report Fallback),6.9117
Q154,Does the company follow sustainable mining practices,numeric,BRSR,Percentage Of Health And Safety Practices Of Value Chain Partners P3,Unverified - Needs Manual Review,9.0937
Q155,Does the company have tailing management system after mining,numeric,BRSR,Remarks For Assurance Of Health And Safety Management System,Locked (BRSR: Ambiguous),16.7852
Q156,"Does the company have a publicly available policy in place for mining from conflict affected and high risk areas. If yes, provide details",numeric,BRSR,Details Of The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board Explanatory Text Block,Locked (BRSR: High Confidence),18.7673
Q157,Does the company undertake intiatives or programs to raise awareness about sustainability challenges and opportunities in the natural rubber industry for suppliers,numeric,BRSR,Total Number Of Awareness Programmes Held - Awareness Programmes Conducted For Value Chain Partners Domain1,Locked (BRSR: Ambiguous),17.3699
Q158,What measures are in palce to ensure public sagety and security at facilities?,numeric,Annual_Report,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,Verified (Annual Report Fallback),7.2492
Q159,How are potential security threats and emergencies addressed,numeric,Annual_Report,Indication Of How Frequently Hedging Relationships Are Discontinued And Restarted,Verified (Annual Report Fallback),7.6339
Q160,Is the company using low carbon vehicle and equipments in its ports to carry out operations,numeric,BRSR,It Is Planned To Be Done In The Next Financial Year - Principle6 Member,Locked (BRSR: High Confidence),21.3344
Q161,Are the ESG related factors being monitored in investee companies/lending processes,numeric,BRSR,Statement By Director Responsible For The Business Responsibility Report Highlighting ESGRelated Challenges Targets And Achievements Explanatory Text Block,Unverified - Needs Manual Review,10.2497
Q162,Does the company lend towards Electric Vehicles,numeric,Annual_Report,Appropriation Towards Bonus Shares,Verified (Annual Report Fallback),7.195
Q163,Does the company have ESG related products/services?,numeric,Annual_Report,Products And Services Domain,Verified (Annual Report Fallback),9.9967
Q164,Does the company integrate ESG aspects in its insurance underwriting process for non life non health insurance reinsurance,numeric,BRSR,The Entity Has Not Applicable Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services Explanatory Text Block,Locked (BRSR: Ambiguous),14.5776
Q165,Does your company offer eSG based products within its non life non health insurance business segment,numeric,BRSR,Details Of Your Entitys Policy Or Policies Has Not Applicable Each Principle And Its Core Elements Of The NGRBCs Explanatory Text Block - Principle2 Member,Locked (BRSR: Ambiguous),18.346
Q166,Does the company participate in the GRESB for real estate benchmark assessment,numeric,BRSR,Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain1,Unverified - Needs Manual Review,11.0687
Q167,Is the company currently operating/deploying low carbon fleet (EVs or other vehicles) in its logistics business or do they have a plan to shift current feet to low carbon alternative fleet,numeric,BRSR,Do You Have AFocal Point Responsible For Addressing Human Rights Impacts Or Issues Caused Or Contributed To By The Business,Locked (BRSR: Ambiguous),20.764
Q168,Does the company have End of Life Vehicles management,numeric,BRSR,Remarks For Assurance Of Whether The Entity Provide Transition Assistance Programs To Facilitate Continued Employability And The Management Of Career Endings Resulting From Retirement Or Termination Of Employment,Unverified - Needs Manual Review,11.9462
Q169,What steps are taken by the company to mitigate any potential health impacts of tyre and rubber product manufacturing on local communities,numeric,BRSR,Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,Locked (BRSR: Ambiguous),21.2672
Q170,"Does the company have a strategy or initiative in place to enourage small forest owners and timber suppliers to adopt best practices or sustainable management in order to obtain certification from recognized systems such as PEF, FSC or equivalent",numeric,BRSR,Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals,Locked (BRSR: High Confidence),20.8375
Q171,"Does the company have commitment in place integrating circular fashin into all its operations? If yes, provide details",numeric,BRSR,Details Of The Entity Have Not Applicable Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board Explanatory Text Block,Locked (BRSR: High Confidence),13.5258
Q172,Does the company manufacture/sell sustainable apparel or garments,numeric,BRSR,Name Of The Trade And Industry Chambers Or Associations - Industry Chambers Or Associations1 Member,Locked (BRSR: Ambiguous),16.5687
Q173,Is the company using sustainable material in its typre (also state the ttype of material used) or has committed to use sustainable material in typres,numeric,BRSR,Remarks For Assurance Of The Entity Has Undertaken Any Specific Initiatives Or Used Innovative Technology Or Solutions To Improve Resource Efficiency,Locked (BRSR: Ambiguous),17.4725
Q174,Is the company manufacturing sustainable/eco-friendly paint/coatings,numeric,BRSR,Whether The Processes For Identifying Key Stakeholder Groups Of The Entity Is Assured By Assurer,Unverified - Needs Manual Review,9.34
Q175,Is the company manufacturing any energy efficient products or is spending on R&D for manufacturing such products in near future?,numeric,BRSR,Percentage Of RAnd D,Locked (BRSR: High Confidence),19.5463
Q176,Is the company fulfilling International Maritime Organisation - MARPOL Air Pollution prevention guidelines,numeric,Annual_Report,Name Of Stock Exchange Where The Company Is Listed,Verified (Annual Report Fallback),8.1442
Q177,Whether an occupational health and safety management system is implemented by the entity,numeric,BRSR,Whether An Occupational Health And Safety Management System Has Been Implemented By The Entity,Locked (BRSR: High Confidence),48.8989
Q178,What are the processes used to identify work-related hazards and assess risks on a routine and non routine bassi by the entity,numeric,BRSR,Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block,Locked (BRSR: High Confidence),59.3946
Q179,Does the company have processes for workers to report the work related hazards and to remove themselves from such risks (Y/N),numeric,BRSR,Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks,Locked (BRSR: High Confidence),58.9874
Q180,Was there training given to workers on health and sagety measures in Current Year,numeric,Annual_Report,Training Recruitment Expenses,Verified (Annual Report Fallback),9.7928
Q181,Does the company mention that they have a safety committee/policy in place with respect to accidents or misfortune events,numeric,BRSR,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees,Locked (BRSR: High Confidence),18.8543
Q182,Does the entity have ISO 45001:2018 certification,numeric,BRSR,The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle2 Member,Unverified - Needs Manual Review,9.621
Q183,Are the entity’s manufacturing facilties WRAP certified,numeric,Annual_Report,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,Verified (Annual Report Fallback),6.0578
Q184,Does the company have a target to achieve gender diversity in the workforce,numeric,BRSR,Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,Locked (BRSR: High Confidence),17.6769
Q185,Does the company have a diversity equality and inclusion policy,numeric,Annual_Report,Initially Applied Ind A Ss Domain,Verified (Annual Report Fallback),6.3442
Q186,Does the company have policy for precention to prevent sexual harassment at workplace,numeric,BRSR,Total Complaints Reported Under Sexual Harassment Of Women At Workplace,Locked (BRSR: Ambiguous),29.707
Q187,Are all complaints filed by the employees during current fiscal year closed,numeric,BRSR,Number Of Complaints Filed During The Year - Health Safety Complaints Member,Locked (BRSR: Ambiguous),19.3537
Q188,Does the company have a human rights policy established,numeric,BRSR,Remarks For Assurance Of Employees And Workers Who Have Been Provided Training On Human Rights Issues And Policies Of The Entity,Locked (BRSR: High Confidence),16.8033
Q189,"Does the company have provide medical assistance (Ambulance service, fixed medical checkups, to the employees)",numeric,BRSR,No Match Found,Unverified - Needs Manual Review,0.0
Q190,"Does the company take measures for the well being of individuals other than permanent employees (which may include interns, contracts, etc.)",numeric,BRSR,Number Of Well Being Of Employees Or Workers - Other Gender Member - Total Employee Benefits Member - Other Than Permanent Employees Member,Locked (BRSR: Ambiguous),19.533
Q191,Does the organisation have opportunities for Paternal leavesWhat all initiatives does the organisation undertake for increase in the retention rate of employees,numeric,BRSR,Retention Rates Permanent Employees That Took Parental Leave - Gender Member,Locked (BRSR: Ambiguous),22.9031
Q192,Does the company have employe development programs that have been developed to upgrade and improve employee skills,numeric,BRSR,Remarks For Assurance Of Details Of Measures Undertaken By The Entity To Ensure That Statutory Dues Have Been Deducted And Deposited By The Value Chain Partners,Locked (BRSR: High Confidence),15.1444
Q193,Did the company face any strike in the current year,numeric,BRSR,Do Human Rights Requirements Form Part Of Your Business Agreements And Contracts,Unverified - Needs Manual Review,11.2402
Q194,Does the company conduct an employee satisfaction survey,numeric,BRSR,The Entity Has Not Applicable Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Explanatory Text Block,Locked (BRSR: Ambiguous),13.4904
Q195,Does the company have policy on offering stock options,numeric,BRSR,Name Of Stock Exchange Where The Company Is Listed - Stock Exchange1,Locked (BRSR: High Confidence),14.0505
Q196,Does the company have mechanisms to receive and respond to consumer complaints and feedback,numeric,BRSR,Remarks For Assurance Of The Mechanisms In Place To Receive And Respond To Consumer Complaints And Feedback,Locked (BRSR: High Confidence),36.6457
Q197,"Did your entity carry out any survey with regard to consumer satisfaction relating to the major products/services of the entity, significant locations of operation of the entity or the entity as a whole",numeric,BRSR,Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole,Locked (BRSR: High Confidence),74.2542
Q198,Steps taken to inform and educate consumers about safe and responsible usage of products and/or service,numeric,BRSR,Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,Locked (BRSR: Ambiguous),55.0085
Q199,ISO 9001:2015 certification,numeric,Annual_Report,Number Of Certified Emission Rights Under Certification,Verified (Annual Report Fallback),6.2681
Q200,Does the entity display product information on the product over and above what is mandated as per local laws,numeric,BRSR,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,Locked (BRSR: High Confidence),64.7158
Q201,"When the onboarding of new vendors takes place, does the company have their supplier code of conduct designed",numeric,BRSR,Name Of The Company Or LLPOr Firm Of Assurance Provider - Assurance Provider Domain1,Unverified - Needs Manual Review,12.2879
Q202,Disclose any significant adverse impact on the environment arising from the value chain of the entity. Are there any mitigations or adaptiation measures taken by the entity in this context,numeric,BRSR,Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block,Locked (BRSR: Ambiguous),52.0752
Q203,Provide details of any corrective actions taken or underway to adderss significant risks/concerns arising from asessment of health and safety practices practices and working conditions of value chain partners,numeric,BRSR,Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Value Chain Partner Explanatory Text Block,Locked (BRSR: Ambiguous),47.8666
Q204,Does the entity have procedures in place for sustainable sourcing strategy around sustainable/efficient/responsible supply chain,numeric,BRSR,Does The Entity Have Procedures In Place For Sustainable Sourcing,Locked (BRSR: High Confidence),44.5975
Q205,Is there a robust supplier assessment done by the company to avoid any conflicts with ESG requirements/sustainability/ESG assessment for suppliers,numeric,BRSR,Whether The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board Is Assured By Assurer,Locked (BRSR: High Confidence),21.8436
Q206,Does the company have a documented CSR policy in place,numeric,Annual_Report,Whether Company Has Written CSR Policy,Verified (Annual Report Fallback),18.5912
Q207,Whether there are mechanisms to receive and redress grievances of the community,numeric,BRSR,Whether Describe The Mechanisms To Receive And Redress Grievances Of The Community Is Assured By Assurer,Locked (BRSR: Ambiguous),33.5121
Q208,Does the entity disclose the details of beneficiaries of CSR projects,numeric,BRSR,Remarks For Assurance Of Details Of Beneficiaries Of CSRProjects,Unverified - Needs Manual Review,12.9197
Q209,"Does the company conduct impact assessments for CSR projects? If yes, provide details",numeric,Annual_Report,Disclosure Of Reasons If Company Fails To Spend Prescribed Amount On CSR,Verified (Annual Report Fallback),16.3512
Q210,Does the company conduct of assessment of negative impacts of its operation on the communities,numeric,BRSR,Details Of Negative Social Impact Identified - Negative Social Impact Identified1,Locked (BRSR: Ambiguous),17.2261
Q211,Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments,numeric,BRSR,Remarks For Assurance Of Details Of Actions Taken To Mitigate Any Negative Social Impacts Identified In The Social Impact Assessments,Locked (BRSR: Ambiguous),42.7651
Q212,Does the entity have a framework/policy on cybersecurity and risks related to data privacy,numeric,BRSR,Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,Locked (BRSR: High Confidence),45.1078
Q213,Does the company’s policy on cybersecurity and risks related to data privacy extend to its value chain partners,numeric,BRSR,Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy,Locked (BRSR: High Confidence),30.5925
Q214,Provide number of instances of data breaches along with their impact on the company,numeric,BRSR,Number Of Instances Of Data Breaches Along With Impact,Locked (BRSR: High Confidence),42.73
Q215,Does the company conduct cybersecurity assessment by a third party,numeric,BRSR,Water Discharge By Sent To Third Parties,Locked (BRSR: Ambiguous),13.6959
Q216,"Does the entity comply with ISO 27001:2013, ISO 22301:2019 OR PCI DSS standards to safeguard the customer data",numeric,BRSR,Whether Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers Is Assured By Assurer,Locked (BRSR: Ambiguous),22.9404
Q217,Does the organisation conduct training on data privacy and awareness programs for information security to its customers/employees,numeric,BRSR,Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,Locked (BRSR: Ambiguous),25.6587
Q218,Does the company have a communication plan for engaging with the communities affected with aircraft noise,numeric,BRSR,Remarks For Assurance Of Whether The Entity Have ABusiness Continuity And Disaster Management Plan,Locked (BRSR: High Confidence),18.3182
Q219,Does the company comply with Maritime Labour Convention adopted by International Labour Organisation in 2006,numeric,Annual_Report,Site Labour Supervision Cost Contracts,Verified (Annual Report Fallback),14.8101
Q220,Is the company’s training centre for its seafarers certified or has got validated by any institution,numeric,BRSR,Whether The Entity Has Undertaken Any Specific Initiatives Or Used Innovative Technology Or Solutions To Improve Resource Efficiency Is Assured By Assurer,Locked (BRSR: High Confidence),17.5136
Q221,Does the company have agreements which safeguard the wellbeing of farm workers through the Agricultural Labour Practices Code,numeric,BRSR,Remarks For Assurance Of Details Of Financial Year For Which Reporting Is Being Done,Locked (BRSR: Ambiguous),16.3848
Q222,Does the company ensure its jewellery meet BIS hallmark standards for quality assurance,numeric,BRSR,Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,Locked (BRSR: High Confidence),17.2141
Q223,Is the education institute providing placement assistance to its students,numeric,BRSR,It Is Planned To Be Done In The Next Financial Year - Principle3 Member,Locked (BRSR: Ambiguous),15.9379
Q224,Does the company have a editorial policy,numeric,BRSR,Remarks For Assurance Of Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,Locked (BRSR: High Confidence),14.7008
Q225,Does the company implement strategies to control and reduce the amount of construction and demolition waste from buildings that are constructed or are part of portfolio,numeric,BRSR,Construction And Demolition Waste,Locked (BRSR: High Confidence),30.9528
Q226,Does the company have programs established to measure food loss and waste,numeric,BRSR,Steps Taken To Address The Waste Collection Plan Explanatory Text Block,Locked (BRSR: High Confidence),22.3217
Q227,Does the company have any targets to reduce food waste,numeric,BRSR,Amount Of Recycled - Hazardous Waste Member - Previous Year,Locked (BRSR: High Confidence),20.4457
Q228,What initiatives are undertaken to mitigate the health risks of smoking and tobacco use,numeric,BRSR,Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services Explanatory Text Block,Locked (BRSR: Ambiguous),15.4228
Q229,Are any of its hospitals accredited with NABH or JIC? How many of its hospitals accredited with NABH or JIC?,numeric,BRSR,Remarks For Assurance Of Weblink Where Information On Products And Services Of The Entity Can Be Accessed,Unverified - Needs Manual Review,11.407
Q230,Does the company have a program or is taking efforts to increase the availability and affordability of the medicines in low income/developing markets,numeric,BRSR,Details If The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services Is Not Applicable Explanatory Text Block,Locked (BRSR: High Confidence),16.6746
Q231,Does the company have publicly available programs to improve the accessibility to healthcare,numeric,BRSR,Whether Information Available In Public Domain - Public Policy3,Unverified - Needs Manual Review,13.3946
Q232,Are the production units and R&D centres certified to International Aerospace Standard AS9100D and other required aviation standards,numeric,BRSR,Details Of Improvements In Environmental And Social Impacts Due To RAnd D,Locked (BRSR: Ambiguous),23.4511
Q233,"Has the company identified risk and threats it faces in ensuring the safet and security of its passengers, staff, and assets",numeric,BRSR,The Entity Has Not Applicable AFramework Or Policy On Cyber Security And Risks Related To Data Privacy Explanatory Text Block,Unverified - Needs Manual Review,12.7165
Q234,Does the company collaborate with external agencies to reduce the amount of food loss and waste,numeric,BRSR,Amount Of Recycled - Hazardous Waste Member,Locked (BRSR: High Confidence),26.3776
Q235,Is the company promoting local tourism,numeric,Annual_Report,Name Of Stock Exchange Where The Company Is Listed,Verified (Annual Report Fallback),8.1442
Q236,"Does the company actively engage in the research collaborations with the universities, research institutions and other companies",numeric,Annual_Report,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,Verified (Annual Report Fallback),16.6678
Q237,"Provide details on development of clinical technology, clinical capabilites and programmes",numeric,Annual_Report,Details Regarding Technology Absorption,Verified (Annual Report Fallback),10.9161
Q238,"Does the entity have system/mechanism in place to address issues (congestion, indoor coverage, call drops, modernisation and upgrade of data speeds, among others)",numeric,BRSR,Remarks For Assurance Of The Internal Mechanisms In Place To Redress Grievances Related To Human Rights Issues,Locked (BRSR: Ambiguous),18.1264
Q239,"Does the company have digital/smart substations or plans to have it in future? (If yes, provide the number of substation)",numeric,BRSR,Remarks For Assurance Of Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted,Locked (BRSR: High Confidence),16.1693
Q240,Does the company use smart metters in its distribution grid,numeric,BRSR,Energy Intensity Per Rupee Of Turnover Adjusting For Purchasing Power Parity - Previous Year,Locked (BRSR: Ambiguous),13.8008
Q241,Does the company have inhouse research and development facilities/centres and team,numeric,Annual_Report,Research And Development Expense,Verified (Annual Report Fallback),13.9443
Q242,Is the company offering e-learning courses/certifications to its students,numeric,BRSR,Whether EMail Of The Company Is Assured By Assurer,Locked (BRSR: Ambiguous),15.4707
Q243,ISO 22000 FSSC,numeric,Annual_Report,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,Verified (Annual Report Fallback),8.7993
Q244,Does the company confirm on its commitments to follow guidelines provided by FSSAI and NIN,numeric,BRSR,Provide Details Of The Non Compliance - Law Or Regulation Or Guidelines1,Locked (BRSR: Ambiguous),14.2647
Q245,Does the company conduct food safety audits,numeric,BRSR,Assurance Sub Type For Details Of Instances Of Product Recalls On Account Of Safety Issues,Locked (BRSR: Ambiguous),13.6621
Q246,Does the company mention use of natural ingredients in their products and are they approved by government norms,numeric,BRSR,Reclaimed Products And Their Packaging Materials As Percentage Of Total Products Sold In Respective Category - Reclaimed Products And Their Packaging Domain1,Locked (BRSR: Ambiguous),15.6711
Q247,does the company have a policy on ingredient safety? is there any mention of use of paraben in the products,numeric,BRSR,The Entity Is Not At AStage Where It Is In APosition To Formulate And Implement The Policies On Specified Principles - Principle7 Member,Locked (BRSR: Ambiguous),18.2467
Q248,ISO 13485,numeric,Annual_Report,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,Verified (Annual Report Fallback),8.7993
Q249,Does the company have a policy for ensuring quality and patient safety during clinical trials,numeric,BRSR,Assurance Sub Type For Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,Locked (BRSR: High Confidence),15.1373
Q250,Does the entity display relevant information on the product labels as per the requirements of national and international drug regulatory bodies,numeric,BRSR,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,Locked (BRSR: High Confidence),25.2718
Q251,How many labs are NABL accredited,numeric,Annual_Report,Indication Of How Frequently Hedging Relationships Are Discontinued And Restarted,Verified (Annual Report Fallback),6.1765
Q252,How did the entity handle aliquots and provide details on reducing aliquots,numeric,Annual_Report,Description Of How Entity Determined Maximum Economic Benefit Available,Verified (Annual Report Fallback),6.2366
Q253,Does the company have a dedicated ethics committee to oversee all the clinical trials,numeric,BRSR,Do You Have APreferential Procurement Policy Where You Give Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups,Locked (BRSR: High Confidence),16.0067
Q254,Does the company have a public policy committing it and/or its suppliers to animal welfare principles,numeric,BRSR,Remarks For Assurance Of APreferential Procurement Policy Where Preference To Purchase From Suppliers Comprising Marginalized Or Vulnerable Groups And Its Percentage Of Total Procurement By Value Does It Constitute,Locked (BRSR: Ambiguous),19.4789
Q255,Does the company meet priority sector lending requirements as per RBI,numeric,BRSR,Is The Premise Or Office Of The Entity Accessible To Differently Abled Visitors As Per The Requirements Of The Rights Of Persons With Disabilities Act2016,Unverified - Needs Manual Review,11.93
Q256,"Does the entity have a plan to lend to MSME? If yes, provide details",numeric,BRSR,Assurer Has Assured Whether The Entity Have ABusiness Continuity And Disaster Management Plan,Locked (BRSR: High Confidence),17.5182
Q257,Does the company have a policy or commitment on financial inclusion,numeric,BRSR,Remarks For Assurance Of The Entity Is AMember Of Or Affiliated To Trade And Industry Chambers Or Associations Determined Based On The Total Members Of Such Body,Locked (BRSR: Ambiguous),13.5414
Q258,Does the company have programmes for listing designed to promote small businesses (MSME) and community development,numeric,BRSR,Assurance Sub Type For Whether The Entity Have ABusiness Continuity And Disaster Management Plan,Locked (BRSR: High Confidence),16.4434
Q259,Does the company index for social enterprises that target underserved or less privileged population segments,numeric,BRSR,Remarks For Assurance Of Whether CSRIs Applicable As Per Section135 Of Companies Act2013,Locked (BRSR: High Confidence),14.9205
Q260,Does the company have its products in compliance with BIS standards,numeric,BRSR,Number Of Persons Benefitted From CSRProjects - CSRProjects83,Locked (BRSR: Ambiguous),15.414
Q261,Is the company adhering to Food Safety Standards and Processes,numeric,Annual_Report,Safety Security Expenses,Verified (Annual Report Fallback),9.088
Q262,Description of actions and initiatives to promote access to healthcare products for priority diseases,numeric,BRSR,Description Of Main Activity - Details Of Business Activities Accounting For Ninety Percent Of The Turnover Domain1,Locked (BRSR: High Confidence),14.9758
Q263,Does the company focus on providing healthcare facilities to vulnerable portions of the population,numeric,BRSR,Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company,Locked (BRSR: High Confidence),13.5803
Q264,N-CAP Rating of 4 or 5 star?,numeric,Annual_Report,Disclosure As Per Sub Rule 5 Of Rule 8 Of Companies Accounts Rules 2014 Explanatory,Verified (Annual Report Fallback),4.4656
Q265,"Is the company sourcing raw materials from the certified sustainable sources (such as global GAP, RSPO, Rainforest, FSC)",numeric,BRSR,Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer,Locked (BRSR: High Confidence),15.8138
Q266,Do the farmers have access to PPE kits to prevent themselves from exposure to pesticides while handling wet green tobacco leaves which could lead to Green Tobacco Sickness,numeric,BRSR,Do The Employees Or Worker Of The Entity Have Access To Non Occupational Medical And Healthcare Services,Locked (BRSR: High Confidence),20.1753
Q267,Does the company have any standards or programmes related to sustainable tobacco during their supply chain process,numeric,BRSR,Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,Locked (BRSR: High Confidence),19.3727
Q268,Are there any technicians appointed during the supply chain process to detect or monitor the agriculture or crop management process,numeric,BRSR,Percentage Of Discrimination At Work Place Of Value Chain Partners P5,Locked (BRSR: Ambiguous),14.7968
Q269,Existence of management process for ensuring quality and patient safety during clinical trials,numeric,BRSR,Type Of Assurance For Policy And Management Processes,Locked (BRSR: High Confidence),18.0518
Q270,Provide information on project(s) for which ongoing Rehabilitation and Resettlements is being undertaken by the company,numeric,BRSR,Whether Details Of Projects For Which Ongoing Rehabilitation And Resettlement Is Being Undertaken By Entity Is Assured By Assurer,Locked (BRSR: Ambiguous),30.8568
Q271,How many patents were filed and granted during the current year,numeric,BRSR,Number Of Complaints Filed During The Year - Otherhumanrightsrelatedissues Member,Locked (BRSR: Ambiguous),16.7864
Q272,Does the company have due diligence process for sourcing minerals as raw materials,numeric,BRSR,Assurance Sub Type For The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,Locked (BRSR: High Confidence),18.9831
Q273,Has the entity performed audit by DoT and maintain compliance with EMF radiation levels set by local regulations and ICNIRP,numeric,BRSR,Assurance Sub Type For Specific Commitments Goals And Targets Set By The Entity With Defined Timelines,Locked (BRSR: Ambiguous),13.66
Q274,Does the organisation have Board Diversity Policy,numeric,BRSR,Remarks For Assurance Of Whether The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,Locked (BRSR: High Confidence),18.6134
Q275,Presence of policy on appointment and reappointment of board of directors,numeric,BRSR,Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block,Locked (BRSR: Ambiguous),18.0092
Q276,Is the chairperson of the board an independent director?,numeric,BRSR,Total Number Of Board Of Directors,Locked (BRSR: Ambiguous),16.1817
Q277,Does the company have separate roles for Chairman and CEO,numeric,Annual_Report,Whether Company Has Published Sustainability Report For The Financial Year,Verified (Annual Report Fallback),6.7748
