question,kalman_fused_match,fused_score,mha_score_raw,bm25_score_norm,kalman_gain,p_value,verification_status,alt_match_1,alt_fused_score_1
"Does the entity have any sites/facilities identified as designated consumers under the Performance, Achieve and Tade Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved in case targets have not been achieved, provide the remedial action taken, if any",Disclose Whether Targets Set Under The Pat Scheme Have Been Achieved In Case Targets Have Not Been Achieved Then Provide The Remedial Action Taken Explanatory Text Block,1.0,0.5654,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.785
Is there a disclosure regarding the energy management system? ISO 50001 Certification,Whether Health And Safety Management System Is Assured By Assurer,1.0,0.4063,1.0,0.0,0.0,Kalman Verified (High),Details Regarding Energy Conservation,0.9762
Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes,Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block,1.0,0.7458,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals,0.9786
"What are the processes to safely reclaim the products for reusing, recycling and disposing at the end of life for, (a) Plastics (including packaging) (b)e-waste (c) hazardous waste and (d) other waste?",Remarks For Assurance Of Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,1.0,0.9043,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,0.9981
"Whether Extended Producer Responsibility (EPR) is applicable to entity’s activities (Y/N). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility plan submitteed to Pollution Control Boards",Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards,1.0,0.7857,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted,0.8301
Third party verification of waste data,Water Withdrawal By Third Party Water,1.0,0.2246,1.0,0.0,0.0,Kalman Verified (High),Water Withdrawal By Third Party Water - Previous Year,0.9107
Is there presence of offices/manufacturing facilities in ecologically sensitive areas,Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer,1.0,0.6688,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,0.9145
Provide details of significant direct and indirect impact of the entity on biodiversity in ecological sensitive areas along with prevention and remediation activities,Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block,1.0,0.8795,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities,0.9783
Does the company have an Environment or a Biodiversity policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.2818,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,0.7914
Does the company’s policy on Biodiversity extend to its value chain partners (Y/N),Do The Enlisted Policies Extend To Your Value Chain Partners - Principle5 Member,1.0,0.4883,1.0,0.0,0.0,Kalman Verified (High),Do The Enlisted Policies Extend To Your Value Chain Partners - Principle6 Member,1.0
Does the company take initiatives with regards to its Biodiversity conservation/land rehabilitation and biodiversity restoration,Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block,1.0,0.5949,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities,0.9751
Are there any goals/targets/commitments set towards carbon neutrality/ Net Zero,Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines,1.0,0.3318,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Specific Commitments Goals And Targets Set By The Entity With Defined Timelines,1.0
Does the organisation report on CDP Disclosure as per Climate Change Module,Disclosure In Auditors Report Explanatory,1.0,0.4561,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.9768
"Does the company perform climate related scenario analysis (based on TCFD framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks",Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,1.0,0.3209,1.0,0.0,0.0,Kalman Verified (High),Web Link Of The Policy On Cyber Security And Risks Related To Data Privacy,0.9457
Presence of ISO 14001:2015 certifications,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,1.0,0.3399,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle,0.5245
Does the entity implement carbon pricing mechanism/model?,Description Of Other Inputs To Options Pricing Model Share Options Granted,1.0,0.2657,1.0,0.0,0.0,Kalman Verified (High),Depreciation Method Investment Property Cost Model,0.5735
Does the company have a policy on environmental management and is it available publicly,Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.4529,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.8621
"Is the entity compliant with the appliacble environmental law/regulations/guidelines for India; such as the Water (Prevention and Control of Pollution) Act, AIr (Prevention and Control of Pollution) Act, Environmental protection act and rules thereunder (Y/N). If not, provide details of all such non compliances",Is The Entity Compliant With The Applicable Environmental Law,1.0,0.7181,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Whether The Entity Compliant With The Applicable Environmental Law,0.8472
Does the company have a strategy for climate change adaptation and mitigation,Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,1.0,0.4904,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,1.0
Discussion of the integration of environmental considerations into strategic planning for data centre needs,Remarks For Assurance Of Whether The Entity Has Translated The Policy Into Procedures,1.0,0.2342,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,0.9571
"Are there any social or environmental concerns and/or risks arising from production or disposal of products, as identified in the Life Cycle Perspective/Assessments",Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,1.0,0.5486,1.0,0.0,0.0,Kalman Verified (High),Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Plant And Office Explanatory Text Block,0.952
"Has the company taken initiatives to use reusable, recyclable or compostable packagin",Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore,1.0,0.1457,1.0,0.0,0.0,Kalman Verified (High),Whether The Company Has Undertaken Reasonable Assurance Of The BRSRCore,0.9126
What are the intiatives taken to reduce plastic packaging,Plastic Waste,1.0,0.5744,1.0,0.0,0.0,Kalman Verified (High),Plastic Waste - Previous Year,0.8914
Turnover of products and/or services as a percentage of turover from all products/service that carry information about the recycling and/or safe disposal,Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,1.0,0.6496,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,0.9961
Does your company have a publicly available no deforestation policy or commitment that applies to your company’s operational practices,Percentage Of Health And Safety Practices Of Your Plants And Offices That Were Assessed P3,1.0,0.4092,1.0,0.0,0.0,Kalman Verified (High),Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block,0.8302
Does the company owns/lease/manages forest land for its operations,The Entity Does Not Consider The Principles Material To Its Business - Principle5 Member,1.0,0.2446,1.0,0.0,0.0,Kalman Verified (High),The Entity Does Not Consider The Principles Material To Its Business - Principle9 Member,1.0
Are there any intiatives taken with respect to sustainable agriclutire by the company,Whether There Are Any Major Customers,1.0,0.3147,1.0,0.0,0.0,Kalman Verified (High),Whether There Are Any Contingent Liabilities,1.0
Is the manufacturing smart farm equipments/machinery,Repairs To Machinery,1.0,0.5044,1.0,0.0,0.0,Kalman Verified (High),Capital Investment On Energy Conservation Equipments,0.8041
"Is the company exposed to animal products and are these certified or accredited by one or more independent third party? If yes, does the company demand or monitor such certification or accreditation from its suppliers?",Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,1.0,0.1447,1.0,0.0,0.0,Kalman Verified (High),Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,0.9262
What are the initiatives taken with respect to Chemical Sagety management,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company,1.0,0.2274,1.0,0.0,0.0,Kalman Verified (High),Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company - Previous Year,0.9383
Does the company have waste heat recovery systems for enchancing energy efficiency (Cement),Waste Recovered Through Other Recovery Operations,1.0,0.4776,1.0,0.0,0.0,Kalman Verified (High),Waste Recovered Through Other Recovery Operations - Previous Year,0.9107
"Is the forestland certified as per international sustainable forest management standards such as FSC, PEFC, SFI",Number Of Certified Emission Rights Held As Inventory,1.0,0.4048,1.0,0.0,0.0,Kalman Verified (High),Equity As Per Ind As,0.9006
What measures are taken to reduce marine pollution and manage ballast water,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,1.0,0.1251,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,0.9807
Does the company comply with new regilation of Energy Efficiency Existing Ship (require al ships above 400GT),Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company,1.0,0.4703,1.0,0.0,0.0,Kalman Verified (High),New Provisions Other Provisions,0.9572
Are there any initiatives to promot sustainable shipping practices or reduce the carbon footprint of port operations,Whether There Are Any Construction Contracts,1.0,0.2503,1.0,0.0,0.0,Kalman Verified (High),Whether There Are Any Major Customers,1.0
Does the copmany manufacture electric or alternate fuel bsaed vessel/ships or related components for the same?,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,1.0,0.3688,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.911
Is company using sustainable alternative fuels liek SAF in its fleet,Shares In Company Held By Subsidiaries Of Its Holding Company,1.0,0.1704,1.0,0.0,0.0,Kalman Verified (High),Shares In Company Held By Associates Of Its Holding Company,1.0
Is there any commitment or plan to shift to alternate fuels such as SAF,Whether There Is Any Departure From Ind AS,1.0,0.2254,1.0,0.0,0.0,Kalman Verified (High),Whether There Is Any Business Combination,0.8634
Has the company partnered with airframe and tehnology manufacturesre to increase fuel efficiency and reduce environmental impact,Power And Fuel,1.0,0.3206,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Compliant With The Applicable Environmental Law,0.8499
"Does the company measure or track the age of aircrafts? If yes, the what is the average of company’s air fleet",Whether Details Of Air Emissions Other Than Ghg Emissions By The Entity Is Applicable To The Company,1.0,0.3344,1.0,0.0,0.0,Kalman Verified (High),Whether Details Of The Stock Exchange Where The Company Is Listed Is Assured By Assurer,0.903
Does the company monitor and measure noise levels? Are they compliant with noise regulations,Is The Entity Compliant With The Applicable Environmental Law,1.0,0.3878,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Compliant With The Applicable Environmental Law,0.8919
Does the company’s policy and measures align with International Civil Aviation Organisation’s Balance Approach,Description Of Line Item S In Statement Of Comprehensive Income In Which Amortisation Of Intangible Assets Is Included,1.0,0.2729,1.0,0.0,0.0,Kalman Verified (High),Balance With Banks,0.9789
Does the company have oil spill/gas leak action plan,Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.4618,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.9527
Did the company experience any spills for the current and previous years,Current Tax Pertaining To Previous Years,1.0,0.2415,1.0,0.0,0.0,Kalman Verified (High),Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole,0.5823
Does the entity have a system to finance sustainable projects,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.7074,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.6347
Are ESG factors incorporated in the lending and investment decisions,Description Of Factors That Make Up Goodwill Recognised,0.9847,0.2394,1.0,0.0201,0.02,Kalman Verified (High),Whether There Are Unconsolidated Structured Entities Controlled By Investment Entity,0.9298
Does the company follow sustainable mining practices,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.5525,1.0,0.0,0.0,Kalman Verified (High),Description Of Accounting Policy For Mining Rights Explanatory,0.7087
Does the company have tailing management system after mining,Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.3934,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Health And Safety Management System,0.8728
"Does the company have a publicly available policy in place for mining from conflict affected and high risk areas. If yes, provide details",Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.347,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.9573
Does the company undertake intiatives or programs to raise awareness about sustainability challenges and opportunities in the natural rubber industry for suppliers,Whether Company Has Published Sustainability Report For The Financial Year,1.0,0.4484,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have ASpecified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues,0.9151
What measures are in palce to ensure public sagety and security at facilities?,Remarks For Assurance Of Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,1.0,0.5084,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Measures Taken By The Entity To Ensure ASafe And Healthy Work Place,1.0
How are potential security threats and emergencies addressed,Indication Of How Frequently Hedging Relationships Are Discontinued And Restarted,1.0,-0.0347,1.0,0.0,0.0,Kalman Verified (High),Description Of Whether There Are Potential Income Tax Consequences Not Practicably Determinable,0.9842
Is the company using low carbon vehicle and equipments in its ports to carry out operations,Whether Total Scope3 Emissions And Its Intensity Is Applicable To The Company,1.0,0.3758,1.0,0.0,0.0,Kalman Verified (High),Whether Details Of Green House Gas Emissions And Its Intensity Is Applicable To The Company,0.898
Are the ESG related factors being monitored in investee companies/lending processes,Description Of Factors That Make Up Goodwill Recognised,0.9839,0.1856,1.0,0.0198,0.02,Kalman Verified (High),Changes In Objectives Policies And Processes For Managing Risk,0.8045
Does the company lend towards Electric Vehicles,Appropriation Towards Bonus Shares,1.0,0.2073,1.0,0.0,0.0,Kalman Verified (High),Efforts Made Towards Technology Absorption Explanatory,0.902
Does the company have ESG related products/services?,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,1.0,0.3306,1.0,0.0,0.0,Kalman Verified (High),Products And Services Domain,0.9374
Does the company integrate ESG aspects in its insurance underwriting process for non life non health insurance reinsurance,Revenue From Insurance Contracts Issued Without Reduction For Reinsurance Held,1.0,0.5238,1.0,0.0,0.0,Kalman Verified (High),Assets Under Insurance Contracts And Reinsurance Contracts Issued,0.9818
Does your company offer eSG based products within its non life non health insurance business segment,Non Controlling Interest,1.0,0.199,1.0,0.0,0.0,Kalman Verified (High),Other Non Hazardous Waste Generated,0.897
Does the company participate in the GRESB for real estate benchmark assessment,Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain280,1.0,0.3282,1.0,0.0,0.0,Kalman Verified (High),Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain28,1.0
Is the company currently operating/deploying low carbon fleet (EVs or other vehicles) in its logistics business or do they have a plan to shift current feet to low carbon alternative fleet,Do You Have AFocal Point Responsible For Addressing Human Rights Impacts Or Issues Caused Or Contributed To By The Business,1.0,0.2458,1.0,0.0,0.0,Kalman Verified (High),Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,0.9485
Does the company have End of Life Vehicles management,Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.4787,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Have ABusiness Continuity And Disaster Management Plan,0.6885
What steps are taken by the company to mitigate any potential health impacts of tyre and rubber product manufacturing on local communities,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,1.0,0.2834,1.0,0.0,0.0,Kalman Verified (High),Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,0.9545
"Does the company have a strategy or initiative in place to enourage small forest owners and timber suppliers to adopt best practices or sustainable management in order to obtain certification from recognized systems such as PEF, FSC or equivalent",Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.6229,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.8168
"Does the company have commitment in place integrating circular fashin into all its operations? If yes, provide details",Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.3917,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.7684
Does the company manufacture/sell sustainable apparel or garments,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.558,1.0,0.0,0.0,Kalman Verified (High),Inventories At Fair Value Less Costs To Sell,0.628
Is the company using sustainable material in its typre (also state the ttype of material used) or has committed to use sustainable material in typres,Recycled Or Re Used In Put Material To Total Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain8,1.0,0.4783,1.0,0.0,0.0,Kalman Verified (High),Recycled Or Re Used In Put Material To Total Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain2,1.0
Is the company manufacturing sustainable/eco-friendly paint/coatings,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.4032,1.0,0.0,0.0,Kalman Verified (High),Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer,0.9355
Is the company manufacturing any energy efficient products or is spending on R&D for manufacturing such products in near future?,Whether The Products And Packaging Reclaimed At End Of Life Of Products Amount Reused Or Recycled Or Safely Disposed Is Assured By Assurer,1.0,0.2175,1.0,0.0,0.0,Kalman Verified (High),Whether Products Or Services Sold By The Entity Accounting For Ninety Percent Of The Turnover Is Assured By Assurer,0.976
Is the company fulfilling International Maritime Organisation - MARPOL Air Pollution prevention guidelines,Whether Details Of Air Emissions Other Than Ghg Emissions By The Entity Is Applicable To The Company,1.0,0.4419,1.0,0.0,0.0,Kalman Verified (High),Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards,0.8348
Whether an occupational health and safety management system is implemented by the entity,Whether An Occupational Health And Safety Management System Has Been Implemented By The Entity,1.0,0.9833,1.0,0.0,0.0,Kalman Verified (High),Whether Health And Safety Management System Is Assured By Assurer,0.7171
What are the processes used to identify work-related hazards and assess risks on a routine and non routine bassi by the entity,Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block,1.0,0.7151,1.0,0.0,0.0,Kalman Verified (High),Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks,0.4861
Does the company have processes for workers to report the work related hazards and to remove themselves from such risks (Y/N),Whether You Have Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks,1.0,0.8931,1.0,0.0,0.0,Kalman Verified (High),Processes For Workers To Report The Work Related Hazards And To Remove Themselves From Such Risks Is Not Applicable Explanatory Text Block,0.8625
Was there training given to workers on health and sagety measures in Current Year,Remarks For Assurance Of Details Of Training Given To Employees And Workers,1.0,0.5825,1.0,0.0,0.0,Kalman Verified (High),Assurance Sub Type For Details Of Training Given To Employees And Workers,1.0
Does the company mention that they have a safety committee/policy in place with respect to accidents or misfortune events,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.2554,1.0,0.0,0.0,Kalman Verified (High),Disclosure Responsibility Statement Of CSR Committee That Implementation And Monitoring Of CSR Policy Is In Compliance With CSR Policy Of Company,0.9868
Does the entity have ISO 45001:2018 certification,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.4603,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0
Are the entity’s manufacturing facilties WRAP certified,Number Of Certified Emission Rights Under Certification,1.0,0.3619,1.0,0.0,0.0,Kalman Verified (High),Number Of Certified Emission Rights Held As Inventory,0.9554
Does the company have a target to achieve gender diversity in the workforce,Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,1.0,0.2376,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Procedures In Place For Sustainable Sourcing,0.9355
Does the company have a diversity equality and inclusion policy,Does The Entity Have An Anti Corruption Or Anti Bribery Policy,1.0,0.2185,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,0.9172
Does the company have policy for precention to prevent sexual harassment at workplace,Total Complaints Reported Under Sexual Harassment Of Women At Workplace,1.0,0.6713,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Complaints Filed Under The Sexual Harassment Of Women At Workplace,0.9733
Are all complaints filed by the employees during current fiscal year closed,Number Of Complaints Filed During The Year - Working Conditions Complaints Member,1.0,0.6313,1.0,0.0,0.0,Kalman Verified (High),Number Of Complaints Filed During The Year - Health Safety Complaints Member,1.0
Does the company have a human rights policy established,Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,1.0,0.4834,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have An Anti Corruption Or Anti Bribery Policy,0.8692
"Does the company provide medical assistance (Ambulance service, fixed medical checkups, to the employees)",Bio Medical Waste,1.0,0.1908,1.0,0.0,0.0,Kalman Verified (High),Employee Medical Insurance Expenses,0.9457
"Does the company take measures for the well being of individuals other than permanent employees (which may include interns, contracts, etc.)",Number Of Well Being Of Employees Or Workers - Gender Member - Benefits Member - Other Than Permanent Employees Member,1.0,0.5939,1.0,0.0,0.0,Kalman Verified (High),Number Of Well Being Of Employees Or Workers - Other Gender Member - Health Insurance Member - Other Than Permanent Employees Member,0.9933
Does the organisation have opportunities for Paternal leavesWhat all initiatives does the organisation undertake for increase in the retention rate of employees,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.3394,1.0,0.0,0.0,Kalman Verified (High),The Entity Does Not Have The Financial Or Human And Technical Resources Available For The Task - Principle9 Member,0.8308
Does the company have employe development programs that have been developed to upgrade and improve employee skills,Does The Entity Have ABusiness Continuity And Disaster Management Plan,1.0,0.3779,1.0,0.0,0.0,Kalman Verified (High),Whether Liabilities Have Been Measured At Fair Value,0.962
Did the company face any strike in the current year,Face Value Of Units Purchased,1.0,0.1817,1.0,0.0,0.0,Kalman Verified (High),Number Of Employees In The Company At The End Of The Financial Year,0.9849
Does the company conduct an employee satisfaction survey,The Entity Has Not Applicable Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Explanatory Text Block,1.0,0.5041,1.0,0.0,0.0,Kalman Verified (High),Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole,0.8506
Does the company have policy on offering stock options,Number Of Outstanding Stock Options,1.0,0.5143,1.0,0.0,0.0,Kalman Verified (High),Proceeds From Exercise Of Stock Options,0.951
Does the company have mechanisms to receive and respond to consumer complaints and feedback,Remarks For Assurance Of The Mechanisms In Place To Receive And Respond To Consumer Complaints And Feedback,1.0,0.8757,1.0,0.0,0.0,Kalman Verified (High),Describe The Mechanisms In Place To Receive And Respond To Consumer Complaints And Feedback Explanatory Text Block,1.0
"Did your entity carry out any survey with regard to consumer satisfaction relating to the major products/services of the entity, significant locations of operation of the entity or the entity as a whole",Did Your Entity Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Of The Entity Significant Locations Of Operation Of The Entity Or The Entity As AWhole,1.0,0.9732,1.0,0.0,0.0,Kalman Verified (High),The Entity Has Not Applicable Carry Out Any Survey With Regard To Consumer Satisfaction Relating To The Major Products Or Services Explanatory Text Block,0.7905
Steps taken to inform and educate consumers about safe and responsible usage of products and/or service,Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services Explanatory Text Block,1.0,0.8408,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.9756
ISO 9001:2015 certification,Number Of Certified Emission Rights Under Certification,1.0,0.4114,1.0,0.0,0.0,Kalman Verified (High),ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,0.7811
Does the entity display product information on the product over and above what is mandated as per local laws,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,1.0,1.0,1.0,0.0,0.0,Kalman Verified (High),Assurer Has Assured Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,0.8854
"When the onboarding of new vendors takes place, does the company have their supplier code of conduct designed",Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.4059,1.0,0.0,0.0,Kalman Verified (High),Does The Entity Have Processes In Place To Avoid Or Manage Conflict Of Interests Involving Members Of The Board,0.8569
Disclose any significant adverse impact on the environment arising from the value chain of the entity. Are there any mitigations or adaptiation measures taken by the entity in this context,Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block,1.0,0.9021,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,0.9833
Provide details of any corrective actions taken or underway to adderss significant risks/concerns arising from asessment of health and safety practices practices and working conditions of value chain partners,Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Value Chain Partner Explanatory Text Block,1.0,0.7583,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of Details Of Any Corrective Actions Taken Or Underway To Address Significant Risks Or Concerns Arising From The Assessments Of Value Chain Partner,0.9819
Does the entity have procedures in place for sustainable sourcing strategy around sustainable/efficient/responsible supply chain,Does The Entity Have Procedures In Place For Sustainable Sourcing,1.0,0.911,1.0,0.0,0.0,Kalman Verified (High),Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.6727
