question_id,original_question_text,combined_query,global_optimal_match,optimal_score,alt_match_1,alt_score_1,alt_match_2,alt_score_2,alt_match_3,alt_score_3,confidence_flag,final_selected_column,true_bm25_score,ncd_score,p_value,verification_status
Q84,Number of complaints received in relation to issues of conflict of interest of the directors/KMPs,Number of complaints received in relation to issues of conflict of interest of the directors/KMPs Number Of Employees In The Company At The End Of The Financial Year,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs,49.8668,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs,49.8668,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs - Previous Year,48.9402,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The Directors,43.8516,Ambiguous,Number Of Complaints Received In Relation To Issues Of Conflict Of Interest Of The KMPs,52.1817,0.5938,0.0,Weak Match - Review
Q85,Percentage of independent directors in nomination and remuneration committee,Percentage of independent directors in nomination and remuneration committee Disclosure Of Policy Formulated By Nomination And Remuneration Committee Relating To Remuneration For Directors Key Managerial Personnels And Other Employees Explanatory,Number Of Key Managerial Personnel For Remuneration Or Salary Or Wages - Other Gender Member,32.5984,Number Of Key Managerial Personnel For Remuneration Or Salary Or Wages - Other Gender Member,32.5984,Median Of Remuneration Or Salary Or Wages Of Key Managerial Personnel - Other Gender Member,31.9154,Number Of Key Managerial Personnel For Remuneration Or Salary Or Wages - Male Member,31.3248,Ambiguous,Number Of Key Managerial Personnel For Remuneration Or Salary Or Wages - Other Gender Member,32.0721,0.6975,0.0,Weak Match - Review
Q86,Percentage of independent directors in audit committee,Percentage of independent directors in audit committee Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle1 Member,18.2916,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle1 Member,18.2916,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle2 Member,18.2916,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle3 Member,18.2916,Ambiguous,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle1 Member,15.3687,0.6187,0.0,Weak Match - Review
Q87,Number of independent directors in risk management committee,Number of independent directors in risk management committee Reappointment Of Independent Directors As Per Section 14910 Explanatory,Whether CSRIs Applicable As Per Section135 Of Companies Act2013,22.7172,Whether CSRIs Applicable As Per Section135 Of Companies Act2013,22.7172,Remarks For Assurance Of Whether CSRIs Applicable As Per Section135 Of Companies Act2013,20.6416,Whether CSRIs Applicable As Per Section135 Of Companies Act2013 Is Assured By Assurer,19.9926,High Confidence,Whether CSRIs Applicable As Per Section135 Of Companies Act2013,8.4222,0.6964,0.02,Weak Match - Review
Q88,Number of independent directors in CSR committee,Number of independent directors in CSR committee Disclosure Of Composition Of CSR Committee Text Block,Notes General Disclosure Explanatory Text Block,17.8502,Notes General Disclosure Explanatory Text Block,17.8502,Details Of Specified Committee Of The Board Or Director Responsible For Decision Making On Sustainability Related Issues Explanatory Text Block,17.2767,Notes Management And Process Disclosures Explanatory Text Block,16.442,Ambiguous,Notes General Disclosure Explanatory Text Block,19.777,0.6517,0.0,Weak Match - Review
Q89,Percentage of subject matter experts appointed in the Audit Committee,Percentage of subject matter experts appointed in the Audit Committee Disclosure Of Composition Of Audit Committee And Non Acceptance Of Any Recommendation Of Audit Committee Along With Reasons Explanatory,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle2 Member,19.6602,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle4 Member,19.6602,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle1 Member,19.6602,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle9 Member,19.6602,Ambiguous,Performance Of The Entity Against The Specific Commitments Goals And Targets Along With Reasons In Case The Same Are Not Met Explanatory Text Block - Principle2 Member,17.1292,0.6475,0.0,Weak Match - Review
Q90,Ratio of remuneration of MD/CEO to median remuneration of employees,Ratio of remuneration of MD/CEO to median remuneration of employees Ratio Of Remuneration Of Director Or Managerial Personnel To Median Of Remuneration Of Employees For Financial Year,Median Of Remuneration Or Salary Or Wages Of Key Managerial Personnel - Male Member,32.8963,Median Of Remuneration Or Salary Or Wages Of Key Managerial Personnel - Female Member,32.8963,Median Of Remuneration Or Salary Or Wages Of Key Managerial Personnel - Male Member,32.8963,Median Of Remuneration Or Salary Or Wages Of Key Managerial Personnel - Other Gender Member,31.8755,Ambiguous,Median Of Remuneration Or Salary Or Wages Of Key Managerial Personnel - Male Member,52.7133,0.5678,0.0,Weak Match - Review
Q91,Percentage of non audit fees as compared to total audit fees,Percentage of non audit fees as compared to total audit fees Custodial Fees,Safe And Responsible Usage As APercentage To Total Turnover,13.417,Safe And Responsible Usage As APercentage To Total Turnover,13.417,Recycling And Or Safe Disposal As APercentage To Total Turnover,13.0064,Environmental And Social Parameters Relevant To The Product As APercentage To Total Turnover,12.7663,Low Confidence,Safe And Responsible Usage As APercentage To Total Turnover,10.4666,0.6176,0.0,Weak Match - Review
Q92,Number of whistle blower complaints filed in the current year,Number of whistle blower complaints filed in the current year Number Of Employees In The Company At The End Of The Financial Year,Number Of Complaints Pending Resolution At The End Of Year - Wages Member,21.2937,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,21.7549,Number Of Complaints Pending Resolution At The End Of Year - Working Conditions Complaints Member,21.4927,Number Of Complaints Pending Resolution At The End Of Year - Health Safety Complaints Member,21.4927,Ambiguous,Number Of Complaints Pending Resolution At The End Of Year - Wages Member,28.9727,0.6,0.0,Weak Match - Review
Q93,Number of pending consumer compliant on unfair trade practices,Number of pending consumer compliant on unfair trade practices Share Application Money Pending Allotment,Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member,31.9825,Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member,31.9825,Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member - Previous Year,29.9423,Remark For Consumer Complaints - Unfair Trade Practices Member,28.9813,High Confidence,Consumer Complaints Pending Resolution At End Of Year - Unfair Trade Practices Member,34.9739,0.5761,0.0,Weak Match - Review
Q94,Number of employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Number of employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,49.3485,Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,49.7299,Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,49.3485,Whether Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption Is Assured By Assurer,48.5653,Ambiguous,Assurance Sub Type For Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,54.1883,0.6312,0.0,Weak Match - Review
Q95,Number of workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Number of workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Number Of Workers Against Whom Disciplinary Action Was Taken,41.0761,Number Of Workers Against Whom Disciplinary Action Was Taken,41.0761,Number Of Directors Against Whom Disciplinary Action Was Taken,38.3598,Number Of Workers Against Whom Disciplinary Action Was Taken - Previous Year,38.1785,High Confidence,Number Of Workers Against Whom Disciplinary Action Was Taken,43.8311,0.7405,0.0,Failed Verification
Q96,What is the share of RPTs (as respective %age) in purchases,What is the share of RPTs (as respective %age) in purchases Summary Of Quantitative Data About What Entity Manages As Capital,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,17.9332,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,18.5522,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,17.9332,Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,17.6847,Ambiguous,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,21.4895,0.6752,0.0,Weak Match - Review
Q97,What is the share of RPTs (as respective %age) in sales,What is the share of RPTs (as respective %age) in sales Summary Of Quantitative Data About What Entity Manages As Capital,Whether Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover Is Assured By Assurer,16.8274,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,18.5522,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,17.9332,Details Of Product Information On The Product Over And Above What Is Mandated As Per Local Laws Explanatory Text Block,17.6847,Low Confidence,Whether Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover Is Assured By Assurer,15.4318,0.7377,0.0,Failed Verification
Q98,What is the share of RPTs (as respective %age) in loans and advances,What is the share of RPTs (as respective %age) in loans and advances Loans And Advances,Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances,23.6224,Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances,23.6224,Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances - Previous Year,22.5415,Amount Of Total Loans And Advances,21.2514,High Confidence,Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances,42.8517,0.5309,0.0,Weak Match - Review
Q99,What is the share of RPTs (as respective %age) in investments,What is the share of RPTs (as respective %age) in investments Summary Of Quantitative Data About What Entity Manages As Capital,Whether Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies Is Assured By Assurer,18.9738,Whether Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies Is Assured By Assurer,18.9738,Does The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,18.5522,Remarks For Assurance Of Whether The Entity Display Product Information On The Product Over And Above What Is Mandated As Per Local Laws,17.9332,Ambiguous,Whether Percentage Of RAnd DAnd Capital Expenditure Investments In Specific Technologies Is Assured By Assurer,18.6606,0.6429,0.0,Weak Match - Review
Q100,Are there any initiatives towards reduction in GHG emissions,Are there any initiatives towards reduction in GHG emissions Whether There Are Any Major Customers,Total Scope2 Emissions,18.5143,Total Scope2 Emissions,18.5143,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,18.3254,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,17.4074,Ambiguous,Total Scope2 Emissions,6.9282,0.8333,0.008,Failed Verification
Q101,What are the VOC/POP/HAP emissions for the current year (Unit: Metric Tonne),What are the VOC/POP/HAP emissions for the current year (Unit: Metric Tonne) Whether There Are Changes In Acounting Estimates During The Year,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,15.3328,Number Of Complaints Filed During The Year - Discrimination At Work Place Member,19.2747,Total Scope3 Emission Intensity The Relevant Metric May Be Selected By The Entity,16.7629,Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5,15.8785,Low Confidence,Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity,14.855,0.7154,0.0,Failed Verification
Q102,"What are the initiatives taken to reduce the NOx, SOx, PM, VOC, HAP and POP air emissions","What are the initiatives taken to reduce the NOx, SOx, PM, VOC, HAP and POP air emissions Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory",NOx - Previous Year,22.9793,NOx,25.3542,SOx,24.8055,Total Electricity Consumption From Renewable Sources,23.7763,Ambiguous,NOx - Previous Year,12.3524,0.8929,0.018,Failed Verification
Q103,Does the company have facilities/operations in water stress regions,Does the company have facilities/operations in water stress regions Cost Water Charges,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,22.7385,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,23.385,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,22.7385,Whether Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres Is Assured By Assurer,22.1375,Ambiguous,Assurance Sub Type For Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,11.6127,0.6598,0.0,Weak Match - Review
Q104,Has the entity implemented mechanism for Zero Liquid Discharge,Has the entity implemented mechanism for Zero Liquid Discharge Whether Company Has Published Sustainability Report For The Financial Year,Has The Entity Implemented AMechanism For Zero Liquid Discharge,42.7792,Has The Entity Implemented AMechanism For Zero Liquid Discharge,42.7792,Whether The Entity Implemented AMechanism For Zero Liquid Discharge Is Assured By Assurer,36.1523,Remarks For Assurance Of The Entity Implemented AMechanism For Zero Liquid Discharge,35.045,High Confidence,Has The Entity Implemented AMechanism For Zero Liquid Discharge,46.7008,0.5714,0.0,Weak Match - Review
Q105,Does the company monitor Chemical Oxygen Demand during water discharge,Does the company monitor Chemical Oxygen Demand during water discharge Cost Water Charges,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Value Chain Partners Member,16.1823,Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company,16.3282,Remarks For Assurance Of Water Withdrawal Or Consumption And Discharge In Areas Of Water Stress In Kilolitres,16.2496,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Value Chain Partners Member,16.1823,Low Confidence,Number Of Complaints Filed From Stake Holder Group During The Year - Complaint Received From Value Chain Partners Member,4.8091,0.6952,0.002,Weak Match - Review
Q106,Third party verification of water data,Third party verification of water data Cost Water Charges,Water Withdrawal By Third Party Water,21.6985,Water Withdrawal By Third Party Water,21.6985,Water Withdrawal By Third Party Water - Previous Year,20.1031,Water Discharge By Sent To Third Parties,18.653,High Confidence,Water Withdrawal By Third Party Water,22.3282,0.623,0.0,Weak Match - Review
Q107,What are the goals/targets/commitments towards Energy consumption,What are the goals/targets/commitments towards Energy consumption Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,Total Electricity Consumption From Renewable Sources,30.0271,Total Electricity Consumption From Renewable Sources,30.0271,Total Fuel Consumption From Renewable Sources,30.0271,Total Fuel Consumption From Non Renewable Sources,28.794,Ambiguous,Total Electricity Consumption From Renewable Sources,12.8204,0.719,0.0,Failed Verification
Q108,"Does the entity have any sites/facilities identified as designated consumers under the Performance, Achieve and Tade Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved in case targets have not been achieved, provide the remedial action taken, if any","Does the entity have any sites/facilities identified as designated consumers under the Performance, Achieve and Tade Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved in case targets have not been achieved, provide the remedial action taken, if any Whether Any Borrowing Costs Has Been Capitalised During The Year",Disclose Whether Targets Set Under The Pat Scheme Have Been Achieved In Case Targets Have Not Been Achieved Then Provide The Remedial Action Taken Explanatory Text Block,74.9652,Disclose Whether Targets Set Under The Pat Scheme Have Been Achieved In Case Targets Have Not Been Achieved Then Provide The Remedial Action Taken Explanatory Text Block,74.9652,Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,66.1741,Assurer Has Assured Whether The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,64.3096,High Confidence,Disclose Whether Targets Set Under The Pat Scheme Have Been Achieved In Case Targets Have Not Been Achieved Then Provide The Remedial Action Taken Explanatory Text Block,124.2272,0.7683,0.0,Failed Verification
Q109,Is there a disclosure regarding the energy management system? ISO 50001 Certification,Is there a disclosure regarding the energy management system? ISO 50001 Certification Details Regarding Energy Conservation,Disclosure Web Link Of Entity At Which Business Continuity And Disaster Management Plan Is Placed,20.4687,Disclosure Web Link Of Entity At Which Business Continuity And Disaster Management Plan Is Placed,20.4687,Details Of Occupational Health And Safety Management System Explanatory Text Block,18.5963,Whether Health And Safety Management System Is Assured By Assurer,18.1693,High Confidence,Disclosure Web Link Of Entity At Which Business Continuity And Disaster Management Plan Is Placed,15.7386,0.6262,0.0,Weak Match - Review
Q110,Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes,Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes Products And Services Domain,Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block,46.8397,Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block,46.8397,Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals,46.1805,Assurance Sub Type For Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals,45.7963,Ambiguous,Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block,42.521,0.6408,0.0,Weak Match - Review
Q111,"What are the processes to safely reclaim the products for reusing, recycling and disposing at the end of life for, (a) Plastics (including packaging) (b)e-waste (c) hazardous waste and (d) other waste?","What are the processes to safely reclaim the products for reusing, recycling and disposing at the end of life for, (a) Plastics (including packaging) (b)e-waste (c) hazardous waste and (d) other waste? Number Of Employees In The Company At The End Of The Financial Year",Remarks For Assurance Of Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,63.4914,Remarks For Assurance Of Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,63.4914,Assurance Sub Type For Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,62.9308,Whether Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste Is Assured By Assurer,61.468,Ambiguous,Remarks For Assurance Of Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,80.373,0.6737,0.0,Weak Match - Review
Q112,"Whether Extended Producer Responsibility (EPR) is applicable to entity’s activities (Y/N). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility plan submitteed to Pollution Control Boards","Whether Extended Producer Responsibility (EPR) is applicable to entity’s activities (Y/N). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility plan submitteed to Pollution Control Boards Whether Provisions Of Corporate Social Responsibility Are Applicable On Company",Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards,66.4949,Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards,66.4949,Assurer Has Assured Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted,57.6329,Remarks For Assurance Of Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted,57.5556,High Confidence,Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards,102.5409,0.6422,0.0,Weak Match - Review
Q113,Third party verification of waste data,Third party verification of waste data Disclosure Relating To Physical Verification And Material Discrepancies Of Fixed Assets,Amount Of Recycled - Hazardous Waste Member - Previous Year,20.4457,Waste Recovered Through Recycled,23.3311,Amount Of Recycled - Hazardous Waste Member,22.1968,Waste Recovered Through Recycled - Previous Year,21.3328,High Confidence,Amount Of Recycled - Hazardous Waste Member - Previous Year,5.6966,0.7642,0.014,Failed Verification
Q114,Is there presence of offices/manufacturing facilities in ecologically sensitive areas,Is there presence of offices/manufacturing facilities in ecologically sensitive areas Description How There Is Significant Influence In Associate,Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5,24.658,Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5,24.658,Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer,22.0629,Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,20.6427,High Confidence,Percentage Of Discrimination At Work Place Of Your Plants And Offices That Were Assessed P5,3.9542,0.735,0.086,Failed Verification
Q115,Provide details of significant direct and indirect impact of the entity on biodiversity in ecological sensitive areas along with prevention and remediation activities,Provide details of significant direct and indirect impact of the entity on biodiversity in ecological sensitive areas along with prevention and remediation activities Impact Of Change In Classification Of Significant Foreign Operation On Shareholders Fund,Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block,58.8265,Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block,58.8265,Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities,57.8359,Assurance Sub Type For Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities,57.4518,Ambiguous,Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block,68.7029,0.6364,0.0,Weak Match - Review
Q116,Does the company have an Environment or a Biodiversity policy,Does the company have an Environment or a Biodiversity policy Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period,Assurer Has Assured Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,23.5419,Assurer Has Assured Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,23.5419,Does The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,22.3129,Remarks For Assurance Of Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,20.4357,High Confidence,Assurer Has Assured Whether The Entity Have An Equal Opportunity Policy As Per The Rights Of Persons With Disabilities Act2016,29.6586,0.688,0.0,Weak Match - Review
Q117,Does the company’s policy on Biodiversity extend to its value chain partners (Y/N),Does the company’s policy on Biodiversity extend to its value chain partners (Y/N) Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,Do The Enlisted Policies Extend To Your Value Chain Partners - Principle7 Member,28.9489,Do The Enlisted Policies Extend To Your Value Chain Partners - Principle7 Member,28.9489,Remarks For Assurance Of Whether The Enlisted Policies Extend To Your Value Chain Partners,25.873,Do The Enlisted Policies Extend To Your Value Chain Partners - Principle6 Member,25.1441,High Confidence,Do The Enlisted Policies Extend To Your Value Chain Partners - Principle7 Member,27.566,0.7941,0.0,Failed Verification
Q118,Does the company take initiatives with regards to its Biodiversity conservation/land rehabilitation and biodiversity restoration,Does the company take initiatives with regards to its Biodiversity conservation/land rehabilitation and biodiversity restoration Description Of Accounting Policy For Decommissioning Restoration And Rehabilitation Provisions Explanatory,Remarks For Assurance Of Details Of Complaints With Regard To Conflict Of Interest,16.1683,Percentage Of Cost Incurred On Well Being Measures With Respect To Total Revenue Of The Company,16.3792,Remarks For Assurance Of Details Of Complaints With Regard To Conflict Of Interest,16.1683,Assurance Sub Type For Details Of Complaints With Regard To Conflict Of Interest,15.812,Low Confidence,Remarks For Assurance Of Details Of Complaints With Regard To Conflict Of Interest,7.2148,0.7857,0.012,Failed Verification
Q119,Are there any goals/targets/commitments set towards carbon neutrality/ Net Zero,Are there any goals/targets/commitments set towards carbon neutrality/ Net Zero Whether There Are Any Major Customers,Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Explanatory Text Block - Principle6 Member,24.2931,Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Explanatory Text Block - Principle6 Member,24.2931,Whether Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Is Assured By Assurer,24.1627,Remarks For Assurance Of Specific Commitments Goals And Targets Set By The Entity With Defined Timelines,22.2776,Ambiguous,Specific Commitments Goals And Targets Set By The Entity With Defined Timelines Explanatory Text Block - Principle6 Member,20.7481,0.6696,0.0,Weak Match - Review
Q120,Does the organisation report on CDP Disclosure as per Climate Change Module,Does the organisation report on CDP Disclosure as per Climate Change Module Profit Loss For The Period As Per Ind As,Type Of Assurance For Section AGeneral Disclosures,16.0295,Type Of Assurance For Section AGeneral Disclosures,16.0295,Type Of Assurance For Governance Leadership And Oversight,14.2231,Net Worth,13.9894,Low Confidence,Type Of Assurance For Section AGeneral Disclosures,1.9769,0.71,0.066,Failed Verification
Q121,"Does the company perform climate related scenario analysis (based on TCFD framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks","Does the company perform climate related scenario analysis (based on TCFD framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks Number Of Employees In The Company At The End Of The Financial Year",Assurer Has Assured Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,23.6786,Desclosure Of The Processes Used To Identify Work Related Hazards And Assess Risks On ARoutine And Non Routine Basis By The Entity Explanatory Text Block,25.6315,Remarks For Assurance Of Details Of Employees As At The End Of Financial Year,25.4281,Assurance Sub Type For Details Of Employees As At The End Of Financial Year,25.0668,Ambiguous,Assurer Has Assured Whether The Entity Have AFramework Or Policy On Cyber Security And Risks Related To Data Privacy,27.7963,0.7722,0.0,Failed Verification
Q122,Presence of ISO 14001:2015 certifications,Presence of ISO 14001:2015 certifications ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,Country Of Other Stock Exchange - Stock Exchange3,11.2042,Remarks For Assurance Of Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,15.7774,Assurance Sub Type For Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers,15.5803,Whether Data Breaches Information Like Number Of Instances Of Data Breaches Along With Impact And Percentage Of Data Breaches Involving Personally Identifiable Information Of Customers Is Assured By Assurer,15.3514,Low Confidence,Country Of Other Stock Exchange - Stock Exchange3,11.1627,0.7946,0.0,Failed Verification
