question_text,best_match,mha_similarity_score,verification_status,alt_match_1,alt_score_1,alt_match_2,alt_score_2
Number of workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/corruption,Remarks For Assurance Of Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption,0.7612,High Confidence (MHA),Whether Number Of Directors Or KMPs Or Employees Or Workers Against Whom Disciplinary Action Was Taken By Any Law Enforcement Agency For The Charges Of Bribery Or Corruption Is Assured By Assurer,0.7098,Number Of Workers Against Whom Disciplinary Action Was Taken - Previous Year,0.6936
What is the share of RPTs (as respective %age) in purchases,Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions - Previous Year,0.5229,Medium Confidence (MHA),Percentage Of Purchases From Related Parties In Total Purchases For Share Of Related Party Transactions,0.5129,Percentage Of Purchases From Trading Houses In Total Purchases For Concentration Of Purchases - Previous Year,0.4912
What is the share of RPTs (as respective %age) in sales,Percentage Of Sales To Related Parties In Total Sales For Share Of Related Party Transactions - Previous Year,0.5073,Medium Confidence (MHA),Percentage Of Sales To Dealers Or Distributors In Total Sales - Previous Year,0.496,Percentage Of Sales To Related Parties In Total Sales For Share Of Related Party Transactions,0.4959
What is the share of RPTs (as respective %age) in loans and advances,Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances,0.6949,Medium Confidence (MHA),Percentage Of Loans And Advances Given To Related Parties In Total Loans And Advances - Previous Year,0.6925,Loans And Advances,0.6401
What is the share of RPTs (as respective %age) in investments,Percentage Of Investments In Related Parties In Total Investments,0.5519,Medium Confidence (MHA),Percentage Of Shares Held By Financial Institutions,0.549,Percentage Of Shares Held By Indian,0.5432
Are there any initiatives towards reduction in GHG emissions,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.6273,Medium Confidence (MHA),Remarks For Assurance Of Whether The Entity Have Any Project Related To Reducing Green House Gas Emission,0.6147,Remarks For Assurance Of Details Of Air Emissions Other Than Ghg Emissions By The Entity,0.5647
What are the VOC/POP/HAP emissions for the current year (Unit: Metric Tonne),Other Emissions - Other Air Emissions Domain9 - Previous Year,0.5818,Medium Confidence (MHA),Other Emissions - Other Air Emissions Domain11 - Previous Year,0.569,Name Of Other Emissions - Other Air Emissions Domain11 - Previous Year,0.5656
"What are the initiatives taken to reduce the NOx, SOx, PM, VOC, HAP and POP air emissions",Other Emissions - Other Air Emissions Domain9,0.5869,Medium Confidence (MHA),Other Emissions - Other Air Emissions Domain9 - Previous Year,0.5821,Name Of Other Emissions - Other Air Emissions Domain9 - Previous Year,0.5748
Does the company have facilities/operations in water stress regions,Nature Of Operations - Facility Or Plant Located In Areas Of Water Stress Domain1,0.7747,High Confidence (MHA),Nature Of Operations - Facility Or Plant Located In Areas Of Water Stress Domain7,0.7746,Nature Of Operations - Facility Or Plant Located In Areas Of Water Stress Domain9,0.774
Has the entity implemented mechanism for Zero Liquid Discharge,Has The Entity Implemented AMechanism For Zero Liquid Discharge,0.8695,High Confidence (MHA),Remarks For Assurance Of The Entity Implemented AMechanism For Zero Liquid Discharge,0.8552,Whether The Entity Implemented AMechanism For Zero Liquid Discharge Is Assured By Assurer,0.7881
Does the company monitor Chemical Oxygen Demand during water discharge,Remarks For Assurance Of Details Of The Disclosures Related To Water Discharged,0.5029,Medium Confidence (MHA),Water Discharge By Sent To Third Parties Per Area - Facility Or Plant Located In Areas Of Water Stress Domain9 - Previous Year,0.4867,Water Discharge By Sent To Third Parties Per Area - Facility Or Plant Located In Areas Of Water Stress Domain1 - Previous Year,0.4853
Third party verification of water data,Whether Details Of The Disclosures Related To Water Withdrawal Is Assured By Assurer,0.5429,Medium Confidence (MHA),Assurance Sub Type For Details Of The Disclosures Related To Water Withdrawal,0.5252,Water Withdrawal By Third Party Water,0.5231
What are the goals/targets/commitments towards Energy consumption,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,0.5676,Medium Confidence (MHA),Remarks For Assurance Of Details Of Total Energy Consumption In Joules Or Multiples And Energy Intensity,0.5615,Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption,0.5484
"Does the entity have any sites/facilities identified as designated consumers under the Performance, Achieve and Tade Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved in case targets have not been achieved, provide the remedial action taken, if any",Does The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.8116,High Confidence (MHA),Remarks For Assurance Of Whether The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.7847,Assurance Sub Type For Whether The Entity Have Any Sites Or Facilities Identified As Designated Consumers Under The Performance Achieve And Trade Scheme Of The Government Of India,0.6881
Is there a disclosure regarding the energy management system? ISO 50001 Certification,Any Independent Assessment Or Evaluation Or Assurance Has Been Carried Out By An External Agency For Energy Consumption,0.5541,Medium Confidence (MHA),Number Of Certified Emission Rights Under Certification,0.5433,Number Of Certified Emission Rights Held As Inventory,0.5406
Waste management practices and strategies to reduce usage of hazardous and toxic chemicals from the products and processes,Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals,0.8445,High Confidence (MHA),Whether Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Is Assured By Assurer,0.7492,Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Explanatory Text Block,0.7458
"What are the processes to safely reclaim the products for reusing, recycling and disposing at the end of life for, (a) Plastics (including packaging) (b)e-waste (c) hazardous waste and (d) other waste?",Remarks For Assurance Of Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,0.9043,High Confidence (MHA),Whether Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste Is Assured By Assurer,0.874,Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging Explanatory Text Block,0.8676
"Whether Extended Producer Responsibility (EPR) is applicable to entity’s activities (Y/N). If yes, whether the waste collection plan is in line with the Extended Producer Responsibility plan submitteed to Pollution Control Boards",Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards,0.7857,High Confidence (MHA),Remarks For Assurance Of Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted,0.7585,Assurer Has Assured Whether The Waste Collection Plan Is In Line With The Extended Producer Responsibility Plan Submitted To Pollution Control Boards And Steps Taken To Address The Waste Collection Plan If Not Submitted,0.709
Third party verification of waste data,Remarks For Assurance Of Details Related To Waste Management By The Entity,0.6316,Medium Confidence (MHA),Whether Details Related To Waste Management By The Entity Is Assured By Assurer,0.6033,Name Of Other Waste - Other Waste Domain3 - Previous Year,0.5704
Is there presence of offices/manufacturing facilities in ecologically sensitive areas,Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,0.7254,High Confidence (MHA),Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer,0.6688,Location Of Operations Or Offices - Operations Or Offices Where Environmental Approvals Or Clearances Required2,0.666
Provide details of significant direct and indirect impact of the entity on biodiversity in ecological sensitive areas along with prevention and remediation activities,Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities,0.9326,High Confidence (MHA),Whether Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Is Assured By Assurer,0.8796,Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block,0.8795
Does the company have an Environment or a Biodiversity policy,Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities,0.633,Medium Confidence (MHA),Whether Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Is Assured By Assurer,0.6254,Assurance Sub Type For Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities,0.6008
Does the company’s policy on Biodiversity extend to its value chain partners (Y/N),Remarks For Assurance Of Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts,0.5727,Medium Confidence (MHA),Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts,0.5625,Whether Percentage Of Value Chain Partners By Value Of Business Done With Such Partners That Were Assessed For Environmental Impacts Is Assured By Assurer,0.5586
Does the company take initiatives with regards to its Biodiversity conservation/land rehabilitation and biodiversity restoration,Remarks For Assurance Of Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities,0.6249,Medium Confidence (MHA),Whether Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Is Assured By Assurer,0.6053,Details Of Significant Direct And Indirect Impact Of The Entity On Biodiversity In Such Areas Along With Prevention And Remediation Activities Explanatory Text Block,0.5949
Are there any goals/targets/commitments set towards carbon neutrality/ Net Zero,Remarks For Assurance Of Whether The Entity Have Any Project Related To Reducing Green House Gas Emission,0.3924,Low Confidence (MHA),Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.3922,Total Scope2 Emissions,0.3751
Does the organisation report on CDP Disclosure as per Climate Change Module,Whether Company Has Published Sustainability Report For The Financial Year,0.5697,Medium Confidence (MHA),Disclosure Web Link Of Company At Which Annual Report Is Placed,0.5599,Disclosure Of Contents Of Corporate Social Responsibility Policy Explanatory,0.5346
"Does the company perform climate related scenario analysis (based on TCFD framework); Based on the climate risk assessment, has the company set up a plan to adapt to the identified physical climate risks",Web Link Of Results Of Life Cycle Assessments P6 - Environmental Impact Assessments Of Project18,0.4992,Low Confidence (MHA),Web Link Of Results Of Life Cycle Assessments P6 - Environmental Impact Assessments Of Project17,0.4981,Web Link Of Results Of Life Cycle Assessments P6 - Environmental Impact Assessments Of Project9,0.4977
Presence of ISO 14001:2015 certifications,Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer,0.4745,Low Confidence (MHA),Number Of Certified Emission Rights Under Certification,0.4709,Certificate Of Practice Number Of Secretarial Auditor,0.4691
Does the entity implement carbon pricing mechanism/model?,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5213,Medium Confidence (MHA),Is The Entity Compliant With The Applicable Environmental Law,0.5194,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.4832
Does the company have a policy on environmental management and is it available publicly,Is The Entity Compliant With The Applicable Environmental Law,0.5791,Medium Confidence (MHA),Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,0.5585,Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer,0.554
"Is the entity compliant with the appliacble environmental law/regulations/guidelines for India; such as the Water (Prevention and Control of Pollution) Act, AIr (Prevention and Control of Pollution) Act, Environmental protection act and rules thereunder (Y/N). If not, provide details of all such non compliances",Is The Entity Compliant With The Applicable Environmental Law,0.7181,High Confidence (MHA),Remarks For Assurance Of Whether The Entity Compliant With The Applicable Environmental Law,0.6844,Assurance Sub Type For Whether The Entity Compliant With The Applicable Environmental Law,0.5971
Does the company have a strategy for climate change adaptation and mitigation,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.5394,Medium Confidence (MHA),Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5211,Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,0.4904
Discussion of the integration of environmental considerations into strategic planning for data centre needs,Name And Brief Details Of Project - Environmental Impact Assessments Of Project6,0.4658,Low Confidence (MHA),Name And Brief Details Of Project - Environmental Impact Assessments Of Project5,0.4529,Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,0.4503
"Are there any social or environmental concerns and/or risks arising from production or disposal of products, as identified in the Life Cycle Perspective/Assessments",Remarks For Assurance Of Details Of Significant Social Or Environmental Concerns From Production Or Disposal Of Product Or Service With Action Taken To Mitigate The Same,0.6716,Medium Confidence (MHA),Remarks For Assurance Of The Products And Packaging Reclaimed At End Of Life Of Products Amount Reused Or Recycled Or Safely Disposed,0.6186,Remarks For Assurance Of Whether The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,0.6001
"Has the company taken initiatives to use reusable, recyclable or compostable packagin",Remarks For Assurance Of The Products And Packaging Reclaimed At End Of Life Of Products Amount Reused Or Recycled Or Safely Disposed,0.5954,Medium Confidence (MHA),Remarks For Assurance Of Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging EWaste Hazardous Waste And Other Waste,0.5871,Recycled Or Re Used In Put Material To Total Material - Recycled Or Reused Input Material Used In Production Or Providing Services Domain8 - Previous Year,0.5723
What are the intiatives taken to reduce plastic packaging,Describe The Processes In Place To Safely Reclaim Your Products For Reusing Recycling And Disposing At The End Of Life For Plastics Including Packaging Explanatory Text Block,0.6205,Medium Confidence (MHA),Amount Of Re Used - Plastics Including Packaging Member,0.6057,Amount Of Recycled - Plastics Including Packaging Member,0.594
Turnover of products and/or services as a percentage of turover from all products/service that carry information about the recycling and/or safe disposal,Recycling And Or Safe Disposal As APercentage To Total Turnover,0.7387,High Confidence (MHA),Remarks For Assurance Of Turnover Of Products And Or Services As APercentage Of Turnover From All Products Or Service That Carry Information About As APercentage To Total Turnover,0.6496,Remarks For Assurance Of Details Of Percentage Of Recycled Or Reused Input Material To Total Material By Value Used In Production Or Providing Services,0.6292
Does your company have a publicly available no deforestation policy or commitment that applies to your company’s operational practices,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5127,Medium Confidence (MHA),Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,0.4994,Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer,0.4983
Does the company owns/lease/manages forest land for its operations,Remarks For Assurance Of Details Of Number Of Locations Where Plants And Or Operations Or Offices Of The Entity Are Situated,0.4669,Low Confidence (MHA),Proceeds From Changes In Ownership Interests In Subsidiaries,0.4661,Proceeds From Sales Of Property Plant And Equipment Classified As Investing Activities,0.4656
Are there any intiatives taken with respect to sustainable agriclutire by the company,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5929,Medium Confidence (MHA),Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.5824,Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer,0.5442
Is the manufacturing smart farm equipments/machinery,Repairs To Machinery,0.5044,Medium Confidence (MHA),Type Of Industry,0.4885,Property Plant And Equipment,0.4349
"Is the company exposed to animal products and are these certified or accredited by one or more independent third party? If yes, does the company demand or monitor such certification or accreditation from its suppliers?",Whether Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services Is Assured By Assurer,0.4597,Low Confidence (MHA),Remarks For Assurance Of Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.4522,Assurance Sub Type For Steps Taken To Inform And Educate Consumers About Safe And Responsible Usage Of Products And Or Services,0.4362
What are the initiatives taken with respect to Chemical Sagety management,Remarks For Assurance Of Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals,0.5124,Medium Confidence (MHA),Whether Details Of Waste Management Practices Adopted In Your Establishments And The Strategy Adopted By Company To Reduce Usage Of Hazardous And Toxic Chemicals Is Assured By Assurer,0.509,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.4748
Does the company have waste heat recovery systems for enchancing energy efficiency (Cement),Waste Recovered Through Other Recovery Operations,0.4776,Low Confidence (MHA),Construction And Demolition Waste,0.4603,Waste Recovered Through Re Used,0.4547
"Is the forestland certified as per international sustainable forest management standards such as FSC, PEFC, SFI",Whether Name Of The National And International Codes Or Certifications Or Labels Or Standards Adopted By Your Entity And Mapped To Each Principle Is Assured By Assurer,0.5178,Medium Confidence (MHA),Assurer Has Assured Whether The Entity Compliant With The Applicable Environmental Law,0.4716,Is The Entity Compliant With The Applicable Environmental Law,0.4555
What measures are taken to reduce marine pollution and manage ballast water,Water Discharge To Seawater With Treatment,0.4773,Low Confidence (MHA),Water Discharge To Seawater With Out Treatment Per Area - Facility Or Plant Located In Areas Of Water Stress Domain9,0.4771,Water Discharge To Seawater With Out Treatment Per Area - Facility Or Plant Located In Areas Of Water Stress Domain6,0.4749
Does the company comply with new regilation of Energy Efficiency Existing Ship (require al ships above 400GT),Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company,0.4703,Low Confidence (MHA),Whether Details Of Total Energy Consumption In Joules Or Multiples And Energy Intensity Is Assured By Assurer,0.3868,Energy Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,0.3846
Are there any initiatives to promot sustainable shipping practices or reduce the carbon footprint of port operations,Remarks For Assurance Of Details Of Significant Social Or Environmental Concerns From Production Or Disposal Of Product Or Service With Action Taken To Mitigate The Same,0.4871,Low Confidence (MHA),Does The Entity Have Procedures In Place For Sustainable Sourcing,0.483,Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.435
Does the copmany manufacture electric or alternate fuel bsaed vessel/ships or related components for the same?,Power And Fuel,0.4635,Low Confidence (MHA),Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,0.3688,Other Non Hazardous Waste Generated,0.3635
Is company using sustainable alternative fuels liek SAF in its fleet,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,0.4678,Low Confidence (MHA),Total Fuel Consumption From Non Renewable Sources,0.4663,Remarks For Assurance Of Whether The Entity Have Any Project Related To Reducing Green House Gas Emission,0.4648
Is there any commitment or plan to shift to alternate fuels such as SAF,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,0.4653,Low Confidence (MHA),Power And Fuel,0.3683,Total Fuel Consumption From Non Renewable Sources,0.3651
Has the company partnered with airframe and tehnology manufacturesre to increase fuel efficiency and reduce environmental impact,Does The Entity Have Any Project Related To Reducing Green House Gas Emission,0.5611,Medium Confidence (MHA),Remarks For Assurance Of Whether The Entity Have Any Project Related To Reducing Green House Gas Emission,0.5055,Assurer Has Assured Whether The Entity Have Any Project Related To Reducing Green House Gas Emission,0.4817
"Does the company measure or track the age of aircrafts? If yes, the what is the average of company’s air fleet",Number Of Employees In The Company At The End Of The Financial Year,0.4564,Low Confidence (MHA),Average Number Of Female Employees Or Workers At The Beginning Of The Year And As At End Of The Year - Previous Year,0.4102,Whether There Are Changes In Acounting Estimates During The Year,0.3964
Does the company monitor and measure noise levels? Are they compliant with noise regulations,Whether Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required Is Assured By Assurer,0.4382,Low Confidence (MHA),Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,0.4313,Whether Details Of Any Corrective Action Taken Or Underway To Address Safety Related Incidents Of Your Plants And Offices That Were Assessed Is Assured By Assurer,0.431
Does the company’s policy and measures align with International Civil Aviation Organisation’s Balance Approach,Description Of Accounting Policy For Subsidiaries Explanatory,0.4422,Low Confidence (MHA),Other Equity Balances,0.4337,Remarks For Assurance Of Whether The Enlisted Policies Extend To Your Value Chain Partners,0.4129
Does the company have oil spill/gas leak action plan,Disclosure Of Statement On Development And Implementation Of Risk Management Policy Explanatory,0.4714,Low Confidence (MHA),Disclosure Web Link Of Entity At Which Business Continuity And Disaster Management Plan Is Placed,0.4659,Does The Entity Have ABusiness Continuity And Disaster Management Plan,0.4618
Did the company experience any spills for the current and previous years,Whether Company Has Associates Liquidated Or Sold During Year,0.5164,Medium Confidence (MHA),Whether Company Has Subsidiary Companies Liquidated Or Sold During Year,0.5021,Remarks For Assurance Of Details Of The Disclosures Related To Water Discharged,0.4703
Does the entity have a system to finance sustainable projects,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.7074,High Confidence (MHA),Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.6514,Assurance Sub Type For The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.6018
Are ESG factors incorporated in the lending and investment decisions,Particulars Of Loans Guarantee Investment Under Section 186 Explanatory,0.4987,Low Confidence (MHA),Nature Of Other Loans And Advances,0.4734,Particulars Of Loans Guarantee Investment Under Section 186 Text Block,0.4585
Does the company follow sustainable mining practices,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5525,Medium Confidence (MHA),Whether Company Has Published Sustainability Report For The Financial Year,0.5231,Description Of Accounting Policy For Mining Rights Explanatory,0.5131
Does the company have tailing management system after mining,Does The Entity Have ABusiness Continuity And Disaster Management Plan,0.3934,Low Confidence (MHA),Whether Company Has Subsidiary Companies Which Are Yet To Commence Operations,0.3753,Description Of Accounting Policy For Mining Assets Explanatory,0.3691
"Does the company have a publicly available policy in place for mining from conflict affected and high risk areas. If yes, provide details",Description Of Accounting Policy For Mining Rights Explanatory,0.6061,Medium Confidence (MHA),Description Of Accounting Policy For Mining Assets Explanatory,0.5258,Remarks For Assurance Of Performance Against Above Policies And Follow Up Action,0.4683
Does the company undertake intiatives or programs to raise awareness about sustainability challenges and opportunities in the natural rubber industry for suppliers,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.5496,Medium Confidence (MHA),Remarks For Assurance Of Awareness Programmes Conducted For Value Chain Partners On Any Of The Principles During The Financial Year,0.5406,Whether Awareness Programmes Conducted For Value Chain Partners On Any Of The Principles During The Financial Year Is Assured By Assurer,0.5282
What measures are in palce to ensure public sagety and security at facilities?,Remarks For Assurance Of Details Of Operations Or Offices In Or Around Ecologically Sensitive Areas Where Environmental Approvals Or Clearances Are Required,0.5517,Medium Confidence (MHA),Remarks For Assurance Of The Premises Or Offices Of The Entity Accessible To Differently Abled Employees And Workers And Steps Are Being Taken By The Entity If The Premises Or Offices Of The Entity Not Accessible,0.5454,Property Plant And Equipment Pledged As Security,0.5427
How are potential security threats and emergencies addressed,Nature Of Security,0.6277,Medium Confidence (MHA),Nature Of Other Risk,0.4616,Description Of Objectives Policies And Processes For Managing Risk,0.4508
Is the company using low carbon vehicle and equipments in its ports to carry out operations,Name Of Subsidiary Which Is Yet To Commence Operations,0.4559,Low Confidence (MHA),Type Of Operations - Operations Or Offices Where Environmental Approvals Or Clearances Required43,0.4558,Type Of Operations - Operations Or Offices Where Environmental Approvals Or Clearances Required34,0.452
Are the ESG related factors being monitored in investee companies/lending processes,Financial Implications Of The Risk Or Opportunity - Entitys Material Responsible Business Conduct Issues Domain6,0.4502,Low Confidence (MHA),Financial Implications Of The Risk Or Opportunity - Entitys Material Responsible Business Conduct Issues Domain37,0.4422,Financial Implications Of The Risk Or Opportunity - Entitys Material Responsible Business Conduct Issues Domain29,0.4417
Does the company lend towards Electric Vehicles,Loans Due By Firms In Which Any Director Is Partner,0.4502,Low Confidence (MHA),Remarks For Assurance Of Green Credits Have Been Generated Or Procured By The Listed Entity And Top Ten Value Chain Partners Is Assured By Assurer,0.4408,Loans Due By Firms Or Companies In Which Any Director Is Partner Or Director,0.4276
Does the company have ESG related products/services?,Name Of The Company,0.4716,Low Confidence (MHA),Does Company Participate In The Business Responsibility Initiatives Of The Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain266,0.4689,Name Of Product Or Services,0.4673
Does the company integrate ESG aspects in its insurance underwriting process for non life non health insurance reinsurance,Additions Other Than Through Business Combinations Reinsurance Assets,0.5757,Medium Confidence (MHA),Reinsurance Assets,0.5612,Description Of Accounting Policy For Reinsurance Explanatory,0.5578
Does your company offer eSG based products within its non life non health insurance business segment,The Entity Has Not Applicable Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services Explanatory Text Block,0.5189,Medium Confidence (MHA),Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees,0.481,Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,0.4765
Does the company participate in the GRESB for real estate benchmark assessment,Whether The Company Has Undertaken Assessment Or Assurance Of The BRSRCore,0.4921,Low Confidence (MHA),Whether The Company Has Undertaken Reasonable Assurance Of The BRSRCore,0.4006,Name Of The Assessor Or Assurer - Assessment Or Assurance Provider Domain3,0.391
Is the company currently operating/deploying low carbon fleet (EVs or other vehicles) in its logistics business or do they have a plan to shift current feet to low carbon alternative fleet,Name Of Subsidiary Which Is Yet To Commence Operations,0.4475,Low Confidence (MHA),Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,0.4384,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.4181
Does the company have End of Life Vehicles management,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Employees,0.5408,Medium Confidence (MHA),Has The Entity Conducted Life Cycle Perspective Or Assessments For Any Of Its Products Or For Its Services,0.535,Does The Entity Extend Any Life Insurance Or Any Compensatory Package In The Event Of Death Of Workers,0.5226
What steps are taken by the company to mitigate any potential health impacts of tyre and rubber product manufacturing on local communities,Remarks For Assurance Of Details Of Significant Social Or Environmental Concerns From Production Or Disposal Of Product Or Service With Action Taken To Mitigate The Same,0.5069,Medium Confidence (MHA),Remarks For Assurance Of Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard,0.4653,Disclose Any Significant Adverse Impact To The Environment Arising From The Value Chain Of The Entity What Mitigation Or Adaptation Measures Have Been Taken By The Entity In This Regard Explanatory Text Block,0.4499
"Does the company have a strategy or initiative in place to enourage small forest owners and timber suppliers to adopt best practices or sustainable management in order to obtain certification from recognized systems such as PEF, FSC or equivalent",Does The Entity Have Procedures In Place For Sustainable Sourcing,0.6229,Medium Confidence (MHA),Remarks For Assurance Of The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably,0.5522,Whether The Entity Have Procedures In Place For Sustainable Sourcing And Percentage Of Inputs Were Sourced Sustainably Is Assured By Assurer,0.5438
"Does the company have commitment in place integrating circular fashin into all its operations? If yes, provide details",Whether Company Has Associates Which Are Yet To Commence Operations,0.4956,Low Confidence (MHA),CIN Of Subsidiary Company Which Is Yet To Commence Operations,0.4719,Details Of Material Changes And Commitment Occurred During Period Affecting Financial Position Of Company,0.4708
Does the company manufacture/sell sustainable apparel or garments,Does The Entity Have Procedures In Place For Sustainable Sourcing,0.558,Medium Confidence (MHA),Whether Company Has Published Sustainability Report For The Financial Year,0.5151,Name Of The Company,0.4984
