brsr_question,xbrl_tag,bm25_score,ncd_score,p_value,verification_status,alt_xbrl_tag_1,alt_score_1
Does the copmany manufacture electric or alternate fuel bsaed vessel/ships or related components for the same?,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,12.3757,0.7097,0.0,Weak Match - Review,Revenues From Transactions With Other Operating Segments Of The Same Entity,10.1842
Is company using sustainable alternative fuels liek SAF in its fleet,Whether Company Is Listed Company,7.0724,0.7971,0.0,Verified,Shares In Company Held By Subsidiaries Of Its Holding Company,6.9466
Is there any commitment or plan to shift to alternate fuels such as SAF,Whether There Is Any Departure From Ind AS,10.6853,0.7083,0.0,Verified,Whether There Is Any Business Combination,9.6946
Has the company partnered with airframe and tehnology manufacturesre to increase fuel efficiency and reduce environmental impact,Power And Fuel,13.1582,0.8812,0.0,Verified,Whether Company Has Published Sustainability Report For The Financial Year,8.4351
"Does the company measure or track the age of aircrafts? If yes, the what is the average of company’s air fleet",Number Of Employees In The Company At The End Of The Financial Year,22.5553,0.7474,0.0,Weak Match - Review,Name Of Stock Exchange Where The Company Is Listed,21.401
Does the company monitor and measure noise levels? Are they compliant with noise regulations,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,9.8894,0.6484,0.0,Verified,Disclosure Of Whether All Assets And Liabilities Are Registered With Company,7.4101
Does the company’s policy and measures align with International Civil Aviation Organisation’s Balance Approach,Balance With Banks,8.8941,0.835,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,7.8257
Does the company have oil spill/gas leak action plan,Description Of Accounting Policy For Oil And Gas Assets Explanatory,7.5056,0.662,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,6.2701
Did the company experience any spills for the current and previous years,Current Tax Pertaining To Previous Years,12.7412,0.6232,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,10.7736
Does the entity have a system to finance sustainable projects,Transfers Under Finance Agreements To Entity Related Party Transactions,7.0296,0.6164,0.0,Verified,Initially Applied Ind A Ss Domain,6.3442
Are ESG factors incorporated in the lending and investment decisions,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,6.9117,0.6923,0.0,Verified,Whether There Are Changes In Acounting Estimates During The Year,6.7231
Does the company follow sustainable mining practices,Number Of Employees In The Company At The End Of The Financial Year,6.2701,0.7164,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,5.8468
Does the company have tailing management system after mining,Number Of Employees In The Company At The End Of The Financial Year,6.2701,0.6866,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,5.8468
"Does the company have a publicly available policy in place for mining from conflict affected and high risk areas. If yes, provide details",Details If Exemption Is Granted For Statement Under Section 129,8.1136,0.7928,0.002,Verified,Description Of Accounting Policy For Mining Rights Explanatory,7.7292
Does the company undertake intiatives or programs to raise awareness about sustainability challenges and opportunities in the natural rubber industry for suppliers,Whether Company Has Published Sustainability Report For The Financial Year,14.9583,0.725,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,11.5878
What measures are in palce to ensure public sagety and security at facilities?,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,7.2492,0.6593,0.002,Verified,Safety Security Expenses,6.4723
How are potential security threats and emergencies addressed,Indication Of How Frequently Hedging Relationships Are Discontinued And Restarted,7.6339,0.6667,0.002,Verified,Safety Security Expenses,6.4723
Is the company using low carbon vehicle and equipments in its ports to carry out operations,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,9.8858,0.7027,0.0,Verified,Vehicle Running Expenses,9.7928
Are the ESG related factors being monitored in investee companies/lending processes,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,6.9117,0.6813,0.002,Weak Match - Review,Whether There Are Changes In Acounting Estimates During The Year,6.7231
Does the company lend towards Electric Vehicles,Appropriation Towards Bonus Shares,7.195,0.6545,0.004,Verified,Efforts Made Towards Technology Absorption Explanatory,6.4526
Does the company have ESG related products/services?,Products And Services Domain,9.9967,0.6833,0.0,Verified,Disclosure Of Products And Services Explanatory,7.5413
Does the company integrate ESG aspects in its insurance underwriting process for non life non health insurance reinsurance,Non Controlling Interest,12.0261,0.8404,0.0,Verified,Insurance,9.8941
Does your company offer eSG based products within its non life non health insurance business segment,Non Controlling Interest,12.0261,0.8295,0.0,Verified,Whether There Are Non Adjusting Events After Reporting Period,8.0668
Does the company participate in the GRESB for real estate benchmark assessment,Number Of Employees In The Company At The End Of The Financial Year,11.5878,0.6933,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.6948
Is the company currently operating/deploying low carbon fleet (EVs or other vehicles) in its logistics business or do they have a plan to shift current feet to low carbon alternative fleet,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,13.3113,0.7518,0.0,Weak Match - Review,Shares In Company Held By Holding Company Or Ultimate Holding Company Or By Its Subsidiaries Or Associates,9.7596
Does the company have End of Life Vehicles management,Number Of Employees In The Company At The End Of The Financial Year,9.4241,0.6866,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,6.1965
What steps are taken by the company to mitigate any potential health impacts of tyre and rubber product manufacturing on local communities,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,16.446,0.7429,0.0,Verified,Steps Taken Or Impact On Conservation Of Energy Explanatory,11.8723
"Does the company have a strategy or initiative in place to enourage small forest owners and timber suppliers to adopt best practices or sustainable management in order to obtain certification from recognized systems such as PEF, FSC or equivalent",Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,12.7456,0.815,0.0,Weak Match - Review,Information About Ultimate Risk Management Strategy In Relation To Hedging Relationships That Entity Frequently Resets,12.0065
"Does the company have commitment in place integrating circular fashin into all its operations? If yes, provide details",Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,9.0928,0.7207,0.0,Weak Match - Review,Details Of Material Changes And Commitment Occurred During Period Affecting Financial Position Of Company,8.2597
Does the company manufacture/sell sustainable apparel or garments,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,6.5103,0.7387,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,6.2701
Is the company using sustainable material in its typre (also state the ttype of material used) or has committed to use sustainable material in typres,Material Cost Contract,15.6078,0.8763,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,14.8426
Is the company manufacturing sustainable/eco-friendly paint/coatings,Name Of Stock Exchange Where The Company Is Listed,8.1442,0.7429,0.0,Weak Match - Review,Whether Company Is Listed Company,7.0724
Is the company manufacturing any energy efficient products or is spending on R&D for manufacturing such products in near future?,Products And Services Domain,11.8729,0.8081,0.0,Verified,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,10.7861
Is the company fulfilling International Maritime Organisation - MARPOL Air Pollution prevention guidelines,Name Of Stock Exchange Where The Company Is Listed,8.1442,0.7684,0.0,Verified,Whether Company Is Listed Company,7.0724
Whether an occupational health and safety management system is implemented by the entity,Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period,9.4734,0.6667,0.0,Weak Match - Review,Safety Security Expenses,9.088
What are the processes used to identify work-related hazards and assess risks on a routine and non routine bassi by the entity,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,11.6829,0.7216,0.0,Weak Match - Review,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,10.5659
Does the company have processes for workers to report the work related hazards and to remove themselves from such risks (Y/N),Whether Company Has Published Sustainability Report For The Financial Year,12.6591,0.7115,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,11.3747
Was there training given to workers on health and sagety measures in Current Year,Training Recruitment Expenses,9.7928,0.7808,0.02,Verified,Advances Given During Year Related Party Transactions,7.4394
Does the company mention that they have a safety committee/policy in place with respect to accidents or misfortune events,Disclosure Responsibility Statement Of CSR Committee That Implementation And Monitoring Of CSR Policy Is In Compliance With CSR Policy Of Company,9.6813,0.7168,0.0,Weak Match - Review,Safety Security Expenses,9.088
Does the entity have ISO 45001:2018 certification,Number Of Certified Emission Rights Under Certification,6.2681,0.7193,0.006,Weak Match - Review,Revenues From Transactions With Other Operating Segments Of The Same Entity,5.2093
Are the entity’s manufacturing facilties WRAP certified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,6.0578,0.7473,0.0,Verified,Number Of Certified Emission Rights Under Certification,5.8487
Does the company have a target to achieve gender diversity in the workforce,Number Of Employees In The Company At The End Of The Financial Year,11.5878,0.7042,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.6948
Does the company have a diversity equality and inclusion policy,Initially Applied Ind A Ss Domain,6.3442,0.7344,0.008,Verified,Number Of Employees In The Company At The End Of The Financial Year,6.2701
Does the company have policy for precention to prevent sexual harassment at workplace,Number Of Employees In The Company At The End Of The Financial Year,8.0209,0.7273,0.0,Weak Match - Review,Whether Company Has Published Sustainability Report For The Financial Year,6.7748
Are all complaints filed by the employees during current fiscal year closed,Whether There Are Changes In Acounting Estimates During The Year,10.2254,0.6901,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,9.1359
Does the company have a human rights policy established,Initially Applied Ind A Ss Domain,6.3442,0.6833,0.014,Verified,Number Of Employees In The Company At The End Of The Financial Year,6.2701
"Does the company provide medical assistance (Ambulance service, fixed medical checkups, to the employees)",Employee Medical Insurance Expenses,14.564,0.7391,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,13.6061
"Does the company take measures for the well being of individuals other than permanent employees (which may include interns, contracts, etc.)",Number Of Employees In The Company At The End Of The Financial Year,14.1102,0.7699,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,10.3515
Does the organisation have opportunities for Paternal leavesWhat all initiatives does the organisation undertake for increase in the retention rate of employees,Number Of Employees In The Company At The End Of The Financial Year,17.6613,0.7727,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,13.1859
Does the company have employe development programs that have been developed to upgrade and improve employee skills,Whether Equity Have Been Measured At Fair Value,10.1171,0.7442,0.0,Verified,Whether Liabilities Have Been Measured At Fair Value,10.115
Did the company face any strike in the current year,Number Of Employees In The Company At The End Of The Financial Year,13.3877,0.7015,0.0,Weak Match - Review,Whether Any Borrowing Costs Has Been Capitalised During The Year,11.6907
Does the company conduct an employee satisfaction survey,Whether Initial Application Of An Ind As Has An Effect On The Current Period Or Any Prior Period,7.8298,0.6782,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,6.2701
Does the company have policy on offering stock options,Name Of Stock Exchange Where The Company Is Listed,9.1951,0.6552,0.0,Verified,Cost Reimbursed By Subsidiary Company For Issuing Options Or Shares Under Employee Stock Option Or Stock Purchase Scheme,7.2484
Does the company have mechanisms to receive and respond to consumer complaints and feedback,Geological And Geophysical Expenditure Pertaining To Exploration And Production Activities,6.8819,0.6341,0.0,Verified,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,6.78
"Did your entity carry out any survey with regard to consumer satisfaction relating to the major products/services of the entity, significant locations of operation of the entity or the entity as a whole",Revenues From Transactions With Other Operating Segments Of The Same Entity,24.2778,0.803,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,19.5261
Steps taken to inform and educate consumers about safe and responsible usage of products and/or service,Steps Taken Or Impact On Conservation Of Energy Explanatory,11.6475,0.6977,0.0,Verified,Products And Services Domain,11.6039
ISO 9001:2015 certification,Number Of Certified Emission Rights Under Certification,6.2681,0.7091,0.006,Verified,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,8.7993
Does the entity display product information on the product over and above what is mandated as per local laws,Profit Loss For The Period As Per Ind As,10.7651,0.8506,0.0,Verified,Profit Loss For The Period As Per Indian Gaap,10.7376
"When the onboarding of new vendors takes place, does the company have their supplier code of conduct designed",Number Of Employees In The Company At The End Of The Financial Year,11.7818,0.7802,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.5403
Disclose any significant adverse impact on the environment arising from the value chain of the entity. Are there any mitigations or adaptiation measures taken by the entity in this context,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,20.8746,0.7984,0.0,Weak Match - Review,Whether There Is Any Change In Functional Currency During The Year,20.2712
Provide details of any corrective actions taken or underway to adderss significant risks/concerns arising from asessment of health and safety practices practices and working conditions of value chain partners,Disclosure Of Nature And Extent Of Risks Arising From Insurance Contracts Explanatory,10.3183,0.7958,0.0,Verified,Disclosure Of Nature And Extent Of Risks Arising From Financial Instruments Explanatory,10.1508
Does the entity have procedures in place for sustainable sourcing strategy around sustainable/efficient/responsible supply chain,Principal Place Of Business Of Entity Whose Consolidated Financial Statements Have Been Produced For Public Use,8.0442,0.7273,0.0,Weak Match - Review,Information About Ultimate Risk Management Strategy In Relation To Hedging Relationships That Entity Frequently Resets,6.762
Is there a robust supplier assessment done by the company to avoid any conflicts with ESG requirements/sustainability/ESG assessment for suppliers,Whether Company Has Published Sustainability Report For The Financial Year,11.766,0.6786,0.0,Verified,Description Of Intangible Assets With Indefinite Useful Life Supporting Assessment Of Indefinite Useful Life,10.7227
Does the company have a documented CSR policy in place,Whether Company Has Written CSR Policy,18.5912,0.6066,0.0,Verified,Disclosure Responsibility Statement Of CSR Committee That Implementation And Monitoring Of CSR Policy Is In Compliance With CSR Policy Of Company,16.2454
Whether there are mechanisms to receive and redress grievances of the community,Whether There Are Reclassifications To Comparative Amounts,11.228,0.6528,0.0,Verified,Whether There Are Changes In Acounting Estimates During The Year,10.9572
Does the entity disclose the details of beneficiaries of CSR projects,Number Of Employees In The Company At The End Of The Financial Year,10.0151,0.6912,0.0,Weak Match - Review,Revenues From Transactions With Other Operating Segments Of The Same Entity,8.9483
"Does the company conduct impact assessments for CSR projects? If yes, provide details",Disclosure Of Reasons If Company Fails To Spend Prescribed Amount On CSR,16.3512,0.6145,0.0,Verified,Details If Exemption Is Granted For Statement Under Section 129,8.1136
Does the company conduct of assessment of negative impacts of its operation on the communities,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,12.4372,0.7027,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,12.2859
Provide details of actions taken to mitigate any negative social impacts identified in the Social Impact Assessments,Details On Policy Development And Implementation By Company On Corporate Social Responsibility Initiatives Taken During Year Explanatory,11.1613,0.687,0.0,Weak Match - Review,Details On Policy Development And Implementation By Company On Corporate Social Responsibility Initiatives Taken During Year Text Block,10.9706
Does the entity have a framework/policy on cybersecurity and risks related to data privacy,Description Of Risks To Which Plan Exposes Entity,8.2732,0.7284,0.0,Verified,Transfers Of Research And Development To Entity Related Party Transactions,6.602
Does the company’s policy on cybersecurity and risks related to data privacy extend to its value chain partners,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,10.9945,0.7387,0.0,Weak Match - Review,Description Of Risks To Which Plan Exposes Entity,7.1378
Provide number of instances of data breaches along with their impact on the company,Number Of Employees In The Company At The End Of The Financial Year,8.8701,0.7123,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,8.5251
Does the company conduct cybersecurity assessment by a third party,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,7.4778,0.6923,0.0,Verified,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,7.3067
"Does the entity comply with ISO 27001:2013, ISO 22301:2019 OR PCI DSS standards to safeguard the customer data",ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,24.0502,0.7228,0.0,Weak Match - Review,Revenues From Transactions With Other Operating Segments Of The Same Entity,10.4022
Does the organisation conduct training on data privacy and awareness programs for information security to its customers/employees,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,10.1649,0.7117,0.0,Weak Match - Review,Information About Major Customers,9.8159
Does the company have a communication plan for engaging with the communities affected with aircraft noise,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,13.7987,0.6703,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,10.7736
Does the company comply with Maritime Labour Convention adopted by International Labour Organisation in 2006,Site Labour Supervision Cost Contracts,14.8101,0.7684,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.3106
Is the company’s training centre for its seafarers certified or has got validated by any institution,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,11.7034,0.7207,0.0,Weak Match - Review,Training Recruitment Expenses,9.7928
Does the company have agreements which safeguard the wellbeing of farm workers through the Agricultural Labour Practices Code,Number Of Employees In The Company At The End Of The Financial Year,15.7811,0.7736,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,14.1846
Does the company ensure its jewellery meet BIS hallmark standards for quality assurance,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,8.4809,0.7027,0.0,Verified,Whether Company Has Published Sustainability Report For The Financial Year,6.7748
Is the education institute providing placement assistance to its students,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,7.1084,0.7568,0.0,Verified,Education Cess Pertaining To Exploration And Production Activities,6.9466
Does the company have a editorial policy,Initially Applied Ind A Ss Domain,6.3442,0.6667,0.006,Verified,Number Of Employees In The Company At The End Of The Financial Year,6.2701
Does the company implement strategies to control and reduce the amount of construction and demolition waste from buildings that are constructed or are part of portfolio,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,14.6677,0.7632,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,11.7818
Does the company have programs established to measure food loss and waste,Methods Used To Measure Risk,8.3853,0.7941,0.0,Verified,Changes In Methods Used To Measure Risk,6.8585
Does the company have any targets to reduce food waste,Number Of Employees In The Company At The End Of The Financial Year,6.2701,0.7015,0.0,Weak Match - Review,Whether Any Borrowing Costs Has Been Capitalised During The Year,5.9967
What initiatives are undertaken to mitigate the health risks of smoking and tobacco use,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,7.8211,0.7143,0.002,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,6.4075
Are any of its hospitals accredited with NABH or JIC? How many of its hospitals accredited with NABH or JIC?,Percentage Of Paid Up Capital Held By Foreign Holding Company And Or With Its Subsidiaries,11.5473,0.7126,0.0,Weak Match - Review,Value Of Paid Up Capital Held By Foreign Holding Company And Or With Its Subsidiaries,11.3526
Does the company have a program or is taking efforts to increase the availability and affordability of the medicines in low income/developing markets,Number Of Employees In The Company At The End Of The Financial Year,16.5954,0.8036,0.0,Verified,Name Of Stock Exchange Where The Company Is Listed,15.2467
Does the company have publicly available programs to improve the accessibility to healthcare,Number Of Employees In The Company At The End Of The Financial Year,10.7736,0.7342,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,9.8409
Are the production units and R&D centres certified to International Aerospace Standard AS9100D and other required aviation standards,Expenditure On Production Transportation And Other Expenditure Pertaining To Exploration And Production Activities,9.8885,0.6759,0.0,Weak Match - Review,Geological And Geophysical Expenditure Pertaining To Exploration And Production Activities,9.0865
"Has the company identified risk and threats it faces in ensuring the safet and security of its passengers, staff, and assets",Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,12.1215,0.7387,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,12.0919
Does the company collaborate with external agencies to reduce the amount of food loss and waste,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,12.1695,0.6703,0.0,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,11.2777
Is the company promoting local tourism,Name Of Stock Exchange Where The Company Is Listed,8.1442,0.6897,0.0,Verified,Whether Company Is Listed Company,7.0724
"Does the company actively engage in the research collaborations with the universities, research institutions and other companies",Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,16.6678,0.6737,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,16.0913
"Provide details on development of clinical technology, clinical capabilites and programmes",Details Regarding Technology Absorption,10.9161,0.7342,0.0,Verified,Expenditure Incurred On Research And Development,7.819
"Does the entity have system/mechanism in place to address issues (congestion, indoor coverage, call drops, modernisation and upgrade of data speeds, among others)",Complete Postal Address Of Place Of Maintenance Of Computer Servers Storing Accounting Data,10.8606,0.7823,0.0,Weak Match - Review,Principal Place Of Business Of Entity Whose Consolidated Financial Statements Have Been Produced For Public Use,7.5649
"Does the company have digital/smart substations or plans to have it in future? (If yes, provide the number of substation)",Number Of Employees In The Company At The End Of The Financial Year,13.6837,0.7476,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,11.0445
Does the company use smart metters in its distribution grid,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,9.0928,0.7297,0.0,Verified,Transportation Distribution Expenses,7.6791
Does the company have inhouse research and development facilities/centres and team,Research And Development Expense,13.9443,0.6842,0.0,Verified,Research Development Expenditure,12.505
Is the company offering e-learning courses/certifications to its students,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,9.2738,0.7207,0.0,Verified,Name Of Stock Exchange Where The Company Is Listed,8.1442
ISO 22000 FSSC,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,8.7993,0.8734,0.01,Verified,Accounting Estimates Domain,0.0
Does the company confirm on its commitments to follow guidelines provided by FSSAI and NIN,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,12.1079,0.6757,0.0,Verified,Shares In Company Held By Subsidiaries Of Its Holding Company,7.794
Does the company conduct food safety audits,Safety Security Expenses,9.088,0.7755,0.002,Weak Match - Review,Number Of Employees In The Company At The End Of The Financial Year,6.2701
Does the company mention use of natural ingredients in their products and are they approved by government norms,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.7451,0.6703,0.0,Verified,Products And Services Domain,7.8256
does the company have a policy on ingredient safety? is there any mention of use of paraben in the products,Whether There Is Any Change In Functional Currency During The Year,14.1483,0.7011,0.0,Verified,Number Of Employees In The Company At The End Of The Financial Year,12.596
ISO 13485,ISO Country Code Of Place Of Maintenance Of Computer Servers Storing Accounting Data,8.7993,0.8734,0.002,Verified,Accounting Estimates Domain,0.0
Does the company have a policy for ensuring quality and patient safety during clinical trials,Safety Security Expenses,9.088,0.8272,0.002,Verified,Whether Company Has Published Sustainability Report For The Financial Year,6.7748
Does the entity display relevant information on the product labels as per the requirements of national and international drug regulatory bodies,Number Of Employees In The Company At The End Of The Financial Year,14.0145,0.8037,0.0,Verified,Profit Loss For The Period As Per Indian Gaap,13.8956
How many labs are NABL accredited,Indication Of How Frequently Hedging Relationships Are Discontinued And Restarted,6.1765,0.7531,0.0,Verified,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,5.0096
How did the entity handle aliquots and provide details on reducing aliquots,Description Of How Entity Determined Maximum Economic Benefit Available,6.2366,0.6486,0.0,Verified,Description Of How Entity Establishes Hedge Ratio And What Sources Of Hedge Ineffectiveness Are,6.1163
Does the company have a dedicated ethics committee to oversee all the clinical trials,Number Of Employees In The Company At The End Of The Financial Year,10.7736,0.6933,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,9.8409
Does the company have a public policy committing it and/or its suppliers to animal welfare principles,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,10.5901,0.6937,0.0,Verified,Staff Welfare Expense,9.4801
Does the company meet priority sector lending requirements as per RBI,Profit Loss For The Period As Per Ind As,7.8171,0.8,0.0,Weak Match - Review,Profit Loss For The Period As Per Indian Gaap,7.5797
"Does the entity have a plan to lend to MSME? If yes, provide details",Description Of Risks To Which Plan Exposes Entity,8.4422,0.6986,0.0,Verified,Description Of Nature Of Necessary Adjustment To Provide Comparative Information,7.4568
Does the company have a policy or commitment on financial inclusion,Number Of Employees In The Company At The End Of The Financial Year,7.7264,0.6567,0.0,Weak Match - Review,Details Of Material Changes And Commitment Occurred During Period Affecting Financial Position Of Company,7.5142
Does the company have programmes for listing designed to promote small businesses (MSME) and community development,Micro Small Medium Enterprises Domain,7.1668,0.7576,0.028,Verified,Whether Company Has Published Sustainability Report For The Financial Year,6.7748
Does the company index for social enterprises that target underserved or less privileged population segments,Whether Company Has Published Sustainability Report For The Financial Year,6.7748,0.6818,0.0,Verified,Micro Small Medium Enterprises Domain,6.6895
Does the company have its products in compliance with BIS standards,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,9.0928,0.6937,0.0,Verified,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,8.6796
Is the company adhering to Food Safety Standards and Processes,Safety Security Expenses,9.088,0.7463,0.006,Verified,Name Of Stock Exchange Where The Company Is Listed,8.1442
Description of actions and initiatives to promote access to healthcare products for priority diseases,Products And Services Domain,7.8256,0.7952,0.0,Verified,Disclosure Of Products And Services Explanatory,6.3549
Does the company focus on providing healthcare facilities to vulnerable portions of the population,Number Of Employees In The Company At The End Of The Financial Year,11.2777,0.7381,0.0,Weak Match - Review,Whether These Are In Accordance With The Books Of Accounts Maintained By The Company Explanatory,10.1906
N-CAP Rating of 4 or 5 star?,Disclosure As Per Sub Rule 5 Of Rule 8 Of Companies Accounts Rules 2014 Explanatory,4.4656,0.8642,0.004,Verified,Statement Showing Details Of Employees Of Company Under Sub Rule 2 And 3 Of Rule 5 Of Companies Appointment And Remuneration Of Managerial Personnels Rules 2014 Explanatory,3.1574
"Is the company sourcing raw materials from the certified sustainable sources (such as global GAP, RSPO, Rainforest, FSC)",Raw Materials Consumed,18.5305,0.8257,0.0,Verified,Steps Taken By The Company For Utilising Alternate Sources Of Energy Explanatory,13.0086
Do the farmers have access to PPE kits to prevent themselves from exposure to pesticides while handling wet green tobacco leaves which could lead to Green Tobacco Sickness,Changes In Exposure To Risk,11.1794,0.8504,0.0,Verified,Additional Information About Entity Exposure To Risk,11.1418
Does the company have any standards or programmes related to sustainable tobacco during their supply chain process,Disclosure In Auditors Report Relating To Fraud By The Company Or On The Company By Its Officers Or Its Employees Reported During Period,8.6191,0.6937,0.0,Weak Match - Review,Whether Any Borrowing Costs Has Been Capitalised During The Year,8.331
Are there any technicians appointed during the supply chain process to detect or monitor the agriculture or crop management process,Whether There Are Changes In Acounting Estimates During The Year,14.0569,0.7677,0.0,Verified,Whether There Is Any Change In Functional Currency During The Year,13.1096
Existence of management process for ensuring quality and patient safety during clinical trials,Safety Security Expenses,9.088,0.8025,0.006,Verified,Description Of Nature Of Regulatory Ratesetting Process,6.0726
Provide information on project(s) for which ongoing Rehabilitation and Resettlements is being undertaken by the company,Sector In Which Project Is Covered,12.0309,0.802,0.0,Verified,Other Money For Which Company Is Contingently Liable,9.1231
How many patents were filed and granted during the current year,Information Whether And How Other Features Were Incorporated Into Measurement Of Fair Value Share Options Granted,8.5496,0.71,0.0,Verified,Whether Any Borrowing Costs Has Been Capitalised During The Year,8.0282
